33 186 62
0 0 1
1 -1 0
2 1 0
3 0 2
4 -2 0
5 2 0
6 0 3
7 -3 0
8 3 0
9 0 4
10 -4 0
11 4 0
12 0 5
13 -5 0
14 5 0
15 0 6
16 -6 0
17 6 0
18 0 7
19 -7 0
20 7 0
21 0 8
22 -8 0
23 8 0
24 0 9
25 -9 0
26 9 0
27 0 10
28 -10 0
29 10 0
30 0 11
31 -11 0
32 11 0
0 1 0 1
1 0 1 0
2 3 1 2
3 2 2 1
4 5 2 0
5 4 0 2
6 7 0 3
7 6 3 0
8 9 1 4
9 8 4 1
10 11 2 5
11 10 5 2
12 13 0 4
13 12 4 0
14 15 1 5
15 14 5 1
16 17 2 3
17 16 3 2
18 19 3 4
19 18 4 3
20 21 4 5
21 20 5 4
22 23 5 3
23 22 3 5
24 25 3 6
25 24 6 3
26 27 4 7
27 26 7 4
28 29 5 8
29 28 8 5
30 31 3 7
31 30 7 3
32 33 4 8
33 32 8 4
34 35 5 6
35 34 6 5
36 37 6 7
37 36 7 6
38 39 7 8
39 38 8 7
40 41 8 6
41 40 6 8
42 43 6 9
43 42 9 6
44 45 7 10
45 44 10 7
46 47 8 11
47 46 11 8
48 49 6 10
49 48 10 6
50 51 7 11
51 50 11 7
52 53 8 9
53 52 9 8
54 55 9 10
55 54 10 9
56 57 10 11
57 56 11 10
58 59 11 9
59 58 9 11
60 61 9 12
61 60 12 9
62 63 10 13
63 62 13 10
64 65 11 14
65 64 14 11
66 67 9 13
67 66 13 9
68 69 10 14
69 68 14 10
70 71 11 12
71 70 12 11
72 73 12 13
73 72 13 12
74 75 13 14
75 74 14 13
76 77 14 12
77 76 12 14
78 79 12 15
79 78 15 12
80 81 13 16
81 80 16 13
82 83 14 17
83 82 17 14
84 85 12 16
85 84 16 12
86 87 13 17
87 86 17 13
88 89 14 15
89 88 15 14
90 91 15 16
91 90 16 15
92 93 16 17
93 92 17 16
94 95 17 15
95 94 15 17
96 97 15 18
97 96 18 15
98 99 16 19
99 98 19 16
100 101 17 20
101 100 20 17
102 103 15 19
103 102 19 15
104 105 16 20
105 104 20 16
106 107 17 18
107 106 18 17
108 109 18 19
109 108 19 18
110 111 19 20
111 110 20 19
112 113 20 18
113 112 18 20
114 115 18 21
115 114 21 18
116 117 19 22
117 116 22 19
118 119 20 23
119 118 23 20
120 121 18 22
121 120 22 18
122 123 19 23
123 122 23 19
124 125 20 21
125 124 21 20
126 127 21 22
127 126 22 21
128 129 22 23
129 128 23 22
130 131 23 21
131 130 21 23
132 133 21 24
133 132 24 21
134 135 22 25
135 134 25 22
136 137 23 26
137 136 26 23
138 139 21 25
139 138 25 21
140 141 22 26
141 140 26 22
142 143 23 24
143 142 24 23
144 145 24 25
145 144 25 24
146 147 25 26
147 146 26 25
148 149 26 24
149 148 24 26
150 151 24 27
151 150 27 24
152 153 25 28
153 152 28 25
154 155 26 29
155 154 29 26
156 157 24 28
157 156 28 24
158 159 25 29
159 158 29 25
160 161 26 27
161 160 27 26
162 163 27 28
163 162 28 27
164 165 28 29
165 164 29 28
166 167 29 27
167 166 27 29
168 169 27 30
169 168 30 27
170 171 28 31
171 170 31 28
172 173 29 32
173 172 32 29
174 175 27 31
175 174 31 27
176 177 28 32
177 176 32 28
178 179 29 30
179 178 30 29
180 181 30 31
181 180 31 30
182 183 31 32
183 182 32 31
184 185 32 30
185 184 30 32
0 3 5 3 1
1 3 0 8 13
2 3 2 10 15
3 3 4 6 17
4 3 7 12 19
5 3 9 14 21
6 3 11 16 23
7 3 18 26 31
8 3 20 28 33
9 3 22 24 35
10 3 25 30 37
11 3 27 32 39
12 3 29 34 41
13 3 36 44 49
14 3 38 46 51
15 3 40 42 53
16 3 43 48 55
17 3 45 50 57
18 3 47 52 59
19 3 54 62 67
20 3 56 64 69
21 3 58 60 71
22 3 61 66 73
23 3 63 68 75
24 3 65 70 77
25 3 72 80 85
26 3 74 82 87
27 3 76 78 89
28 3 79 84 91
29 3 81 86 93
30 3 83 88 95
31 3 90 98 103
32 3 92 100 105
33 3 94 96 107
34 3 97 102 109
35 3 99 104 111
36 3 101 106 113
37 3 108 116 121
38 3 110 118 123
39 3 112 114 125
40 3 115 120 127
41 3 117 122 129
42 3 119 124 131
43 3 126 134 139
44 3 128 136 141
45 3 130 132 143
46 3 133 138 145
47 3 135 140 147
48 3 137 142 149
49 3 144 152 157
50 3 146 154 159
51 3 148 150 161
52 3 151 156 163
53 3 153 158 165
54 3 155 160 167
55 3 162 170 175
56 3 164 172 177
57 3 166 168 179
58 3 169 174 181
59 3 171 176 183
60 3 173 178 185
61 3 180 182 184
