Graph Info:	./input_data/cylinder/1.txt	Number of Vertices	33
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.11765	17.06	17	1.50000	6.32	3	1.05263	3.99
1	6	1.05263	1.58	5	1.71429	5.56	6	1.05263	1.30
2	3	1.11765	0.84	20	1.40909	1.61	3	1.05263	0.87
3	3	1.11765	0.67	23	1.43478	2.58	3	1.05263	1.34
4	5	1.11111	1.07	3	1.76923	1.02	5	1.05263	0.70
5	3	1.00000	0.55	3	1.76923	3.62	3	1.05263	0.70
6	5	1.11111	1.39	3	1.76923	1.20	5	1.05263	0.67
7	3	1.11765	0.56	22	1.39130	2.55	3	1.05263	0.67
8	6	1.05263	0.57	6	1.60000	4.79	6	1.05263	3.51
9	5	1.11111	0.47	3	1.76923	1.06	5	1.05263	0.67
10	3	1.11765	1.77	20	1.40909	0.93	3	1.05263	2.28
11	6	1.05263	0.49	11	1.58824	2.71	6	1.05263	0.63
12	6	1.05263	0.32	7	1.66667	0.53	6	1.05263	0.31
13	4	1.17647	0.36	16	1.45000	0.67	4	1.05263	0.64
14	6	1.05263	0.32	3	1.76923	0.57	6	1.05263	0.42
15	3	1.11765	0.47	19	1.47619	2.74	3	1.05263	0.53
16	6	1.05263	0.71	5	1.71429	1.76	6	1.05263	0.56
17	6	1.05263	0.38	12	1.50000	0.71	6	1.05263	0.51
18	3	1.11765	0.47	23	1.43478	2.80	3	1.05263	0.48
19	6	1.05263	0.38	3	1.76923	0.76	6	1.05263	0.59
20	6	1.05263	2.49	14	1.47368	0.50	6	1.05263	1.69
21	5	1.11111	9.45	3	1.76923	0.72	5	1.05263	0.47
22	3	1.00000	0.38	3	1.76923	0.68	3	1.05263	0.54
23	6	1.05263	3.50	8	1.56250	0.74	6	1.05263	0.43
24	6	1.05263	1.64	5	1.71429	0.74	6	1.05263	0.60
25	4	1.17647	0.45	16	1.45000	0.69	4	1.05263	1.08
26	6	1.05263	0.36	7	1.66667	0.59	6	1.05263	0.49
27	3	1.11765	0.34	22	1.39130	0.63	3	1.05263	0.46
28	3	1.11765	0.28	19	1.47619	1.55	3	1.05263	0.49
29	6	1.05263	0.32	6	1.60000	0.99	6	1.05263	0.48
30	3	1.11765	0.40	20	1.40909	0.59	3	1.05263	0.42
31	3	1.11765	0.36	19	1.47619	0.62	3	1.05263	0.40
