Graph Info:	./input_data/cylinder/2.txt	Number of Vertices	33
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00000	0.97	6	1.60000	0.97	5	1.71429	0.71	3	1.00000	0.49
1	6	1.16667	0.37	6	1.60000	0.64	4	1.46667	0.69	6	1.00000	0.55
2	3	1.00000	0.33	6	1.60000	2.06	5	1.71429	1.81	3	1.00000	0.53
3	6	1.16667	0.47	6	1.60000	0.71	3	1.00000	5.87	6	1.00000	6.32
4	6	1.16667	0.28	5	1.71429	0.52	3	1.40000	0.52	6	1.00000	0.46
5	6	1.16667	1.17	6	1.60000	0.66	4	1.46667	0.50	6	1.00000	0.30
6	3	1.00000	0.24	6	1.60000	0.45	5	1.71429	1.09	3	1.00000	0.44
7	6	1.16667	0.24	6	1.60000	3.99	4	1.46667	0.62	6	1.00000	0.29
8	3	1.00000	0.22	6	1.60000	0.42	5	1.71429	17.93	3	1.00000	0.56
9	3	1.00000	8.12	6	1.60000	1.43	5	1.71429	1.16	3	1.00000	0.56
10	3	1.00000	0.85	6	1.60000	1.45	5	1.71429	0.65	3	1.00000	0.31
11	6	1.16667	1.78	5	1.71429	3.89	3	1.40000	3.11	6	1.00000	0.40
12	6	1.16667	0.28	6	1.60000	0.54	4	1.46667	12.21	6	1.00000	0.47
13	6	1.16667	0.24	6	1.60000	10.89	4	1.64286	0.53	6	1.00000	0.31
14	6	1.16667	0.67	5	1.71429	10.87	3	1.40000	1.02	6	1.00000	0.60
15	6	1.16667	0.60	6	1.60000	1.60	4	1.64286	0.51	6	1.00000	0.44
16	3	1.00000	0.50	6	1.60000	1.13	5	1.71429	1.52	3	1.00000	0.53
17	6	1.16667	0.31	6	1.60000	0.65	3	1.00000	0.67	6	1.00000	0.53
18	3	1.00000	0.40	6	1.60000	0.43	5	1.71429	0.50	3	1.00000	0.29
19	6	1.16667	0.57	6	1.60000	1.92	3	1.00000	0.63	6	1.00000	0.38
20	3	1.00000	0.31	6	1.60000	0.52	5	1.71429	0.72	3	1.00000	0.30
21	3	1.00000	0.24	6	1.60000	0.41	5	1.71429	0.48	3	1.00000	0.33
22	3	1.00000	0.28	6	1.60000	0.40	5	1.71429	0.47	3	1.00000	0.36
23	6	1.16667	0.25	6	1.60000	0.47	4	1.46667	0.58	6	1.00000	0.54
24	3	1.00000	0.22	6	1.60000	0.43	5	1.71429	0.46	3	1.00000	0.28
25	3	1.00000	0.22	6	1.60000	0.42	5	1.71429	0.66	3	1.00000	0.42
26	6	1.16667	0.41	6	1.60000	0.54	4	1.64286	0.56	6	1.00000	0.31
27	6	1.16667	0.22	6	1.60000	0.46	4	1.64286	0.44	6	1.00000	0.30
28	3	1.00000	0.20	6	1.60000	0.38	5	1.71429	0.45	3	1.00000	0.30
29	6	1.16667	0.23	6	1.60000	0.42	4	1.64286	0.71	6	1.00000	1.05
30	3	1.00000	0.20	6	1.60000	0.41	5	1.71429	0.45	3	1.00000	0.31
31	3	1.00000	0.25	6	1.60000	0.42	5	1.71429	0.57	3	1.00000	0.30
