Graph Info:	./input_data/cylinder/5.txt	Number of Vertices	300003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00001	2131.95	181061	1.52485	3777.28	3	1.00003	1426.07
1	3	1.00001	966.88	127364	1.61093	2147.55	3	1.00003	2307.08
2	3	1.00001	940.24	144797	1.58005	2234.63	3	1.00003	1318.99
3	3	1.00000	1224.14	3	1.99997	2448.23	3	1.00003	1382.12
4	3	1.00001	986.74	143503	1.58223	2117.16	3	1.00003	1435.95
5	6	1.00003	1650.50	102396	1.66137	2538.06	6	1.00003	1277.03
6	6	1.00003	961.24	87897	1.69469	2439.31	6	1.00003	1304.39
7	3	1.00001	1081.13	196030	1.50500	2638.85	3	1.00003	1664.68
8	3	1.00001	1234.28	162665	1.55147	2375.83	3	1.00003	1367.33
9	6	1.00003	1055.54	4816	1.97646	1997.17	6	1.00003	1342.55
10	3	1.00001	1061.87	176821	1.53075	2887.09	3	1.00003	1648.95
11	3	1.00001	1112.18	170867	1.53927	3406.55	3	1.00003	2047.04
12	6	1.00003	1401.65	47986	1.80648	2498.58	6	1.00003	1399.86
13	3	1.00001	925.95	169075	1.54189	2222.25	3	1.00003	1312.99
14	6	1.00003	915.67	65384	1.75361	2035.94	6	1.00003	1375.57
15	6	1.00003	902.08	19622	1.91063	1959.45	6	1.00003	1327.64
16	3	1.00001	955.96	176233	1.53158	2210.07	3	1.00003	1288.07
17	3	1.00000	1040.98	181461	1.52430	2164.54	3	1.00003	1251.11
18	3	1.00001	966.47	147160	1.57609	2198.50	3	1.00003	1314.43
19	3	1.00001	924.40	179608	1.52685	2239.73	3	1.00003	1283.32
20	3	1.00001	915.36	142658	1.58366	2042.43	3	1.00003	1330.74
21	3	1.00001	927.36	183368	1.52168	2145.35	3	1.00003	1312.50
22	6	1.00003	948.18	85912	1.69950	2090.49	6	1.00003	1279.38
23	6	1.00003	972.03	103348	1.65929	2053.28	6	1.00003	1304.19
24	6	1.00003	917.74	56305	1.78031	2007.58	6	1.00003	1525.52
25	6	1.00003	1085.90	20187	1.90831	2161.42	6	1.00003	1381.45
26	6	1.00003	928.06	15121	1.92970	2071.04	6	1.00003	1289.60
27	3	1.00001	1007.14	192964	1.50894	2227.29	3	1.00003	1332.38
28	6	1.00003	1053.56	76689	1.72283	2094.66	6	1.00003	1281.43
29	6	1.00003	918.54	1916	1.99048	1996.46	6	1.00003	1410.49
30	6	1.00003	929.87	97677	1.67186	2125.51	6	1.00003	1288.17
31	6	1.00003	955.51	49267	1.80234	2002.93	6	1.00003	1419.02
