Graph Info:	./input_data/cylinder/rnd/4.txt	Number of Vertices	30003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00000	75.63	3	1.99970	174.26	6	1.99850	218.30	3	1.00000	122.97	3	1.99940	297.81
1	10	1.00007	61.10	11	1.99810	129.98	3	1.16026	220.73	10	1.00000	92.07	3	1.99581	315.93
2	4	1.00007	62.27	11	1.99810	137.92	3	1.99970	210.17	4	1.00000	113.96	3	1.99581	364.86
3	4	1.00007	88.84	11	1.99810	173.42	11	1.99810	170.47	4	1.00000	127.97	3	1.99581	261.39
4	4	1.00007	71.68	11	1.99810	145.29	3	1.99970	206.37	4	1.00000	103.13	3	1.99581	282.18
5	13	1.00080	62.70	11	1.99810	152.84	3	1.99970	205.28	13	1.00000	104.46	3	1.99581	296.15
6	3	1.00000	60.79	3	1.99970	249.77	6	1.99940	289.47	3	1.00000	127.33	3	1.99940	280.80
7	3	1.00000	76.90	3	1.99970	162.88	6	1.99940	205.65	3	1.00000	101.68	3	1.99940	298.23
8	9	1.00013	63.09	3	1.99970	164.70	3	1.89354	177.55	9	1.00000	113.15	3	1.99940	273.67
9	3	1.00000	60.83	3	1.99970	129.87	6	1.99850	212.25	3	1.00000	88.24	3	1.99940	295.90
10	4	1.00007	60.56	11	1.99810	128.90	3	1.99970	232.39	4	1.00000	90.25	3	1.99581	373.20
11	4	1.00007	94.80	11	1.99810	211.74	11	1.99810	251.98	4	1.00000	102.72	3	1.99581	306.09
12	4	1.00007	63.97	11	1.99810	140.25	3	1.99970	241.41	4	1.00000	98.71	3	1.99581	303.87
13	18	1.00020	64.98	11	1.99810	136.90	3	1.58405	244.16	18	1.00000	95.81	3	1.99581	301.10
14	13	1.00040	68.73	3	1.99970	139.51	3	1.84444	216.32	13	1.00000	123.26	3	1.99940	298.00
15	17	1.00013	67.54	3	1.99970	132.54	3	1.99790	187.62	17	1.00000	132.83	3	1.99940	275.86
16	4	1.00007	62.66	11	1.99810	153.54	3	1.99970	201.55	4	1.00000	109.10	3	1.99581	278.07
17	4	1.00007	61.47	11	1.99810	134.61	3	1.99970	220.41	4	1.00000	88.22	3	1.99581	303.99
18	12	1.00020	61.37	3	1.99970	126.77	3	1.47963	210.38	12	1.00000	88.64	3	1.99940	294.11
19	4	1.00007	62.08	11	1.99810	126.30	3	1.99970	215.07	4	1.00000	104.26	3	1.99581	276.86
20	3	1.00000	77.72	3	1.99970	149.87	6	1.99940	233.37	3	1.00000	102.06	3	1.99940	287.17
21	4	1.00007	63.20	11	1.99810	156.33	11	1.99810	185.14	4	1.00000	117.47	3	1.99581	273.28
22	18	1.00060	61.72	3	1.99970	129.59	6	1.99940	236.71	18	1.00000	88.22	3	1.99940	287.11
23	6	1.00033	60.03	11	1.99810	125.48	3	1.00642	221.97	6	1.00000	96.10	3	1.99581	288.22
24	17	1.00107	62.60	3	1.99970	130.26	6	1.99940	217.65	17	1.00000	105.93	3	1.99940	286.92
25	12	1.00020	67.34	11	1.99810	136.31	3	1.99850	209.46	12	1.00000	105.23	3	1.99581	274.81
26	3	1.00000	61.18	3	1.99970	142.65	6	1.99940	214.75	3	1.00000	89.74	3	1.99940	286.59
27	14	1.00033	59.86	3	1.99970	125.78	3	1.51117	204.78	14	1.00000	89.20	3	1.99940	288.51
28	4	1.00007	63.00	11	1.99810	127.63	11	1.99810	202.73	4	1.00000	103.77	3	1.99581	273.97
29	11	1.00013	68.09	3	1.99970	151.86	6	1.99940	199.51	11	1.00000	100.50	3	1.99940	285.30
30	17	1.00107	60.96	11	1.99810	147.72	3	1.36063	196.02	17	1.00000	121.07	3	1.99581	274.37
31	4	1.00007	61.39	11	1.99810	138.74	3	1.99970	234.83	4	1.00000	90.85	3	1.99581	297.48
