Graph Info:	./input_data/cylinder/symm/3.txt	Number of Vertices	303
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	6	1.01961	1.74	6	1.94286	1.92	3	1.31818	2.53	6	1.00000	1.61	4	1.86916	11.40
1	6	1.01961	1.43	6	1.94286	2.72	5	1.96154	3.42	6	1.00000	2.00	4	1.86916	10.94
2	3	1.00000	3.14	6	1.94286	9.08	5	1.96154	21.61	3	1.00000	3.44	4	1.86916	12.29
3	6	1.01961	2.52	6	1.94286	1.95	5	1.96154	4.13	6	1.00000	6.20	4	1.86916	5.87
4	6	1.01961	3.92	6	1.94286	3.43	3	1.61538	7.21	6	1.00000	1.52	4	1.86916	10.57
5	6	1.01961	1.03	6	1.94286	6.68	3	1.48780	4.42	6	1.00000	1.65	4	1.86916	3.80
6	3	1.00000	0.90	6	1.94286	1.76	6	1.94286	2.12	3	1.00000	1.18	4	1.86916	3.11
7	3	1.00000	0.84	6	1.94286	1.58	5	1.96154	2.40	3	1.00000	1.20	4	1.86916	3.12
8	3	1.00000	0.80	6	1.94286	1.55	5	1.96154	2.24	3	1.00000	1.08	4	1.86916	3.07
9	6	1.01961	0.90	6	1.94286	1.74	5	1.96154	2.29	6	1.00000	1.11	4	1.86916	3.30
10	6	1.01961	0.85	6	1.94286	1.83	3	1.17021	2.41	6	1.00000	1.20	4	1.86916	3.05
11	6	1.01961	0.83	6	1.94286	6.66	3	1.26667	3.58	6	1.00000	1.16	4	1.86916	5.24
12	6	1.01961	1.40	6	1.94286	1.88	3	1.83333	12.66	6	1.00000	3.08	4	1.86916	8.24
13	3	1.00000	1.15	6	1.94286	2.22	5	1.96154	12.39	3	1.00000	6.03	4	1.86916	8.21
14	6	1.01961	0.84	6	1.94286	3.90	3	1.42857	8.73	6	1.00000	1.68	4	1.86916	4.05
15	3	1.00000	7.45	6	1.94286	3.71	5	1.96154	14.78	3	1.00000	4.54	4	1.86916	4.22
16	3	1.00000	1.76	6	1.94286	1.58	6	1.94286	2.92	3	1.00000	4.57	4	1.86916	2.93
17	6	1.01961	0.85	6	1.94286	1.65	5	1.96154	6.15	6	1.00000	1.90	4	1.86916	3.13
18	3	1.00000	0.80	6	1.94286	1.58	6	1.94286	2.21	3	1.00000	1.23	4	1.86916	4.01
19	6	1.01961	0.79	6	1.94286	1.52	3	1.17021	2.17	6	1.00000	1.43	4	1.86916	8.26
20	6	1.01961	1.53	6	1.94286	1.89	3	1.68421	2.24	6	1.00000	1.20	4	1.86916	3.19
21	6	1.01961	0.79	6	1.94286	1.56	3	1.37209	8.97	6	1.00000	1.76	4	1.86916	3.95
22	6	1.01961	1.14	6	1.94286	8.32	3	1.21739	8.03	6	1.00000	1.53	4	1.86916	15.90
23	6	1.01961	0.87	6	1.94286	1.53	5	1.96154	4.22	6	1.00000	5.21	4	1.86916	13.66
24	6	1.01961	0.97	6	1.94286	2.76	3	1.61538	3.60	6	1.00000	6.19	4	1.86916	6.91
25	6	1.01961	1.61	6	1.94286	18.75	5	1.96154	10.09	6	1.00000	2.05	4	1.86916	5.57
26	3	1.00000	0.99	6	1.94286	2.11	5	1.96154	5.38	3	1.00000	1.55	4	1.86916	4.07
27	6	1.01961	1.03	6	1.94286	2.20	4	1.95192	2.80	6	1.00000	1.63	4	1.86916	5.74
28	6	1.01961	1.44	6	1.94286	2.89	5	1.96154	3.74	6	1.00000	2.60	4	1.86916	5.52
29	6	1.01961	2.15	6	1.94286	3.40	5	1.96154	5.49	6	1.00000	3.78	4	1.86916	12.06
30	3	1.00000	1.35	6	1.94286	4.43	5	1.96154	10.83	3	1.00000	7.27	4	1.86916	10.16
31	6	1.01961	1.76	6	1.94286	5.95	5	1.96154	3.02	6	1.00000	2.29	4	1.86916	5.79
