Graph Info:	./input_data/cylinder/unsymm/4.txt	Number of Vertices	30003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	6	1.00033	98.38	9067	1.68799	109.99	3	1.74303	131.13	6	1.00000	69.36	3	1.00027	223.52
1	6	1.00033	44.82	1320	1.93782	108.85	3	1.65024	150.04	6	1.00000	75.41	3	1.65094	197.77
2	3	1.00013	47.11	18124	1.52450	114.87	8125	1.71084	134.48	3	1.00000	72.34	3	1.00027	284.08
3	6	1.00033	47.45	4888	1.80339	129.16	3	1.01518	132.57	6	1.00000	75.36	3	1.01558	219.82
4	6	1.00033	76.52	10504	1.65550	115.34	505	1.97494	147.86	6	1.00000	75.05	3	1.00027	235.44
5	6	1.00033	47.19	7760	1.72029	116.12	3	1.45027	172.12	6	1.00000	76.05	3	1.00013	245.22
6	3	1.00013	55.08	4	1.99950	119.95	4	1.99950	155.20	3	1.00000	78.16	3	1.99910	235.27
7	3	1.00013	47.45	14078	1.58676	122.28	4079	1.83026	139.97	3	1.00000	73.18	3	1.00013	248.65
8	6	1.00033	44.65	3	1.99940	127.47	3	1.99970	134.77	6	1.00000	69.37	3	1.99910	186.48
9	3	1.00000	45.70	3	1.99970	108.44	3	1.99940	134.87	3	1.00000	91.43	3	1.99940	199.92
10	3	1.00013	47.26	4	1.99950	108.51	4	1.99950	145.48	3	1.00000	75.58	3	1.99910	220.18
11	6	1.00033	48.54	1651	1.92362	111.18	3	1.57496	118.43	6	1.00000	71.32	3	1.57562	191.42
12	6	1.00033	48.61	3780	1.84082	106.64	3	1.17719	153.12	6	1.00000	79.26	3	1.17766	211.47
13	3	1.00013	47.95	16034	1.55491	127.63	6035	1.76790	144.48	3	1.00000	72.38	3	1.00013	262.26
14	6	1.00033	50.16	7368	1.73060	117.60	3	1.37427	132.84	6	1.00000	86.27	3	1.00000	229.77
15	6	1.00033	46.47	5644	1.77971	109.71	3	1.08926	134.58	6	1.00000	74.30	3	1.00027	224.75
16	6	1.00033	45.28	3	1.99970	106.82	3	1.99940	163.51	6	1.00000	75.27	3	1.99940	200.85
17	3	1.00013	45.44	13180	1.60264	117.27	3181	1.86242	140.11	3	1.00000	72.85	3	1.00027	264.76
18	3	1.00000	48.20	3	1.99970	106.85	3	1.99940	135.12	3	1.00000	76.81	3	1.99940	194.61
19	6	1.00033	65.02	3	1.99940	99.01	3	1.99970	136.74	6	1.00000	72.61	3	1.99910	178.95
20	6	1.00033	45.29	3	1.99970	104.53	3	1.99940	145.53	6	1.00000	75.33	3	1.99940	180.13
21	6	1.00033	47.42	5587	1.78156	104.89	3	1.08100	127.84	6	1.00000	70.11	3	1.00027	202.47
22	6	1.00033	48.99	7176	1.73576	110.40	3	1.33874	130.65	6	1.00000	72.37	3	1.00000	178.76
23	6	1.00033	46.45	10223	1.66168	111.01	223	1.98883	134.19	6	1.00000	72.68	3	1.00013	225.32
24	3	1.00013	44.17	3	1.99940	99.23	3	1.99970	133.28	3	1.00000	70.72	3	1.99910	190.28
25	6	1.00033	44.34	6143	1.76494	102.80	3	1.16447	124.48	6	1.00000	68.87	3	1.00013	210.69
26	3	1.00013	42.15	16969	1.54095	110.23	6969	1.74151	131.67	3	1.00000	68.87	3	1.00027	229.38
27	6	1.00033	45.82	8588	1.69943	108.35	3	1.62796	129.11	6	1.00000	73.96	3	1.00013	222.17
28	3	1.00000	45.71	3	1.99970	102.23	3	1.99940	131.72	3	1.00000	71.08	3	1.99940	181.46
29	6	1.00033	43.43	4	1.99950	99.61	4	1.99950	141.75	6	1.00000	72.75	3	1.99910	199.10
30	6	1.00033	47.68	5917	1.77160	102.11	3	1.12975	122.47	6	1.00000	69.59	3	1.00027	206.02
31	3	1.00013	43.51	14155	1.58551	105.41	4155	1.82788	129.54	3	1.00000	67.49	3	1.00027	226.04
