Graph Info:	./input_data/cylinder/5.txt	Number of Vertices	30003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00000	61.55	5	1.99960	200.40	3	1.00000	153.98
1	3	1.00000	121.47	5	1.99960	312.41	3	1.00000	103.09
2	6	1.00020	68.12	5	1.99960	267.67	6	1.00000	99.41
3	6	1.00020	68.44	3	1.89661	215.93	6	1.00000	84.88
4	3	1.00000	101.63	5	1.99960	180.32	3	1.00000	86.86
5	6	1.00020	114.37	3	1.85038	177.85	6	1.00000	85.41
6	3	1.00000	69.39	5	1.99960	156.87	3	1.00000	140.88
7	6	1.00020	71.75	3	1.94523	151.87	6	1.00000	166.78
8	6	1.00020	110.75	3	1.17671	189.49	6	1.00000	80.37
9	6	1.00020	75.07	3	1.48930	239.55	6	1.00000	212.94
10	3	1.00000	54.67	5	1.99960	173.28	3	1.00000	106.16
11	3	1.00000	80.38	5	1.99960	308.83	3	1.00000	164.67
12	3	1.00000	97.27	5	1.99960	195.20	3	1.00000	181.11
13	6	1.00020	90.68	3	1.14221	169.00	6	1.00000	103.77
14	3	1.00000	66.11	5	1.99960	247.78	3	1.00000	89.90
15	3	1.00000	103.53	5	1.99960	251.55	3	1.00000	82.13
16	3	1.00000	89.62	5	1.99960	181.32	3	1.00000	88.86
17	6	1.00020	122.98	5	1.99960	256.23	6	1.00000	81.32
18	6	1.00020	59.01	3	1.85282	173.06	6	1.00000	133.77
19	6	1.00020	105.58	3	1.05549	277.93	6	1.00000	92.86
20	3	1.00000	89.97	5	1.99960	215.40	3	1.00000	89.27
21	6	1.00020	77.99	3	1.24009	206.44	6	1.00000	113.43
22	6	1.00020	118.25	5	1.99960	182.42	6	1.00000	85.75
23	3	1.00000	75.43	5	1.99960	178.31	3	1.00000	160.97
24	3	1.00000	97.88	5	1.99960	244.81	3	1.00000	91.66
25	6	1.00020	91.00	5	1.99960	332.19	6	1.00000	124.48
26	3	1.00000	63.48	5	1.99960	211.83	3	1.00000	138.63
27	6	1.00020	66.48	5	1.99960	288.29	6	1.00000	164.95
28	6	1.00020	70.49	3	1.63211	162.26	6	1.00000	110.39
29	6	1.00020	111.78	3	1.43773	160.15	6	1.00000	88.13
30	3	1.00000	111.40	5	1.99960	181.28	3	1.00000	85.69
31	3	1.00000	82.68	5	1.99960	196.21	3	1.00000	130.68
