Graph Info:	./input_data/grids/2.txt	Number of Vertices	588
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	79	1.21595	5.78	21	1.75566	6.92	47	1.38722	5.18
1	74	1.21405	1.67	21	1.91388	4.29	44	1.68936	4.50
2	102	1.03540	2.49	30	1.39535	4.51	57	1.13576	5.70
3	69	1.00305	1.92	21	1.75566	14.63	45	1.52191	13.43
4	72	1.21477	2.91	22	1.52066	30.64	51	1.18836	8.71
5	68	1.01227	4.44	21	1.75566	28.60	45	1.52191	11.04
6	83	1.13016	1.55	21	1.75566	4.52	49	1.35055	6.32
7	71	1.22635	5.06	28	1.86512	7.41	62	1.33813	8.89
8	102	1.30000	1.90	21	1.90000	3.70	51	1.45769	4.37
9	72	1.03077	1.27	28	1.89202	2.63	54	1.42264	4.43
10	68	1.03727	2.01	21	1.75566	3.43	45	1.52191	7.70
11	88	1.08000	2.28	22	1.71111	6.16	36	1.40000	4.26
12	72	1.17105	1.32	22	1.52066	3.11	55	1.12211	18.66
13	84	1.23256	1.38	23	1.88208	3.08	56	1.42105	10.28
14	71	1.06583	2.40	21	1.75566	9.66	58	1.12500	14.98
15	97	1.05090	4.47	26	1.89623	23.67	48	1.53386	12.45
16	87	1.07692	3.51	24	1.72000	7.19	37	1.42248	10.19
17	71	1.22635	2.22	28	1.82569	4.72	63	1.00926	9.80
18	70	1.04984	1.70	22	1.52066	3.25	40	1.39695	4.14
19	102	1.30000	1.34	24	1.92823	2.46	59	1.39630	3.62
20	124	1.13814	1.86	24	1.87324	5.42	54	1.48837	4.86
21	74	1.21405	1.42	21	1.85915	4.56	42	1.68085	3.36
22	110	1.28105	1.68	23	1.92344	2.68	59	1.44151	4.23
23	68	1.01227	1.11	22	1.52066	4.98	47	1.29242	3.28
24	71	1.07233	1.19	21	1.75566	2.58	39	1.62343	3.38
25	112	1.20820	5.73	21	1.91388	2.83	58	1.45627	4.40
26	66	1.18729	1.25	22	1.52066	10.83	46	1.30545	26.26
27	82	1.14058	9.74	21	1.75566	4.18	49	1.35055	9.95
28	71	1.11897	4.96	22	1.52066	5.35	60	1.36496	8.01
29	128	1.19632	1.78	26	1.89623	3.54	50	1.51181	6.11
30	71	1.17492	1.67	21	1.75566	7.45	56	1.17568	15.05
31	85	1.07077	1.19	24	1.88679	24.12	40	1.53226	3.81
