Graph Info:	./input_data/grids/3.txt	Number of Vertices	5963
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	236	1.00356	33.23	74	1.40518	30.99	74	1.33902	39.10	131	1.35562	42.93	233	1.00453	55.94
1	216	1.03793	27.67	67	1.68597	52.00	67	1.64706	67.40	160	1.36136	38.59	218	1.05212	103.04
2	306	1.05003	37.50	69	1.97143	35.40	68	1.67095	48.42	155	1.39078	57.99	302	1.04872	179.58
3	254	1.02442	58.00	68	1.97094	85.59	68	1.96218	49.88	170	1.42603	83.05	250	1.02312	84.53
4	276	1.02631	20.27	97	1.97496	35.33	97	1.93320	35.06	206	1.41543	38.35	246	1.00161	121.02
5	215	1.06002	21.50	67	1.68597	26.72	67	1.64706	35.32	154	1.40922	71.97	218	1.05212	78.08
6	284	1.07611	14.10	75	1.98026	26.06	75	1.98026	44.39	179	1.40109	59.40	280	1.07478	71.07
7	306	1.05003	13.41	74	1.96513	39.92	68	1.00565	36.32	189	1.40877	107.87	302	1.04872	59.44
8	305	1.05643	14.73	85	1.95746	30.18	85	1.95746	70.07	202	1.41292	58.45	254	1.02905	45.78
9	222	1.05618	8.95	67	1.68597	19.95	67	1.64706	60.43	166	1.30154	47.57	218	1.05212	43.86
10	229	1.03818	9.06	69	1.96850	18.97	70	1.90747	22.56	143	1.69819	43.25	226	1.03720	80.90
11	236	1.00356	9.21	68	1.60856	19.07	68	1.60856	23.03	151	1.65020	24.60	218	1.05212	84.63
12	238	1.04182	26.28	67	1.68597	41.56	67	1.64706	25.53	152	1.37845	24.02	218	1.05212	34.15
13	315	1.07332	8.55	85	1.97345	17.12	68	1.11986	22.25	197	1.54125	43.85	141	1.50987	98.22
14	246	1.07520	10.68	67	1.68597	19.35	67	1.64706	23.57	193	1.12716	24.28	218	1.05212	60.86
15	228	1.00162	32.31	68	1.94482	53.14	68	1.53297	26.79	150	1.75857	24.80	226	1.00226	36.93
16	216	1.03860	8.18	67	1.68597	18.29	67	1.64706	35.91	183	1.16485	45.42	218	1.05212	51.74
17	220	1.07066	8.57	67	1.68597	19.57	65	1.89668	25.37	144	1.47147	25.09	218	1.05212	43.03
18	251	1.05966	21.47	104	1.29811	53.01	87	1.92695	52.01	204	1.05430	33.56	239	1.05500	42.31
19	349	1.00572	9.84	96	1.56411	39.88	96	1.53833	46.85	207	1.22182	45.75	113	1.82211	52.38
20	422	1.12550	10.14	93	1.92985	35.54	68	1.00100	53.55	196	1.51696	44.58	124	1.45147	37.29
21	364	1.09990	8.99	78	1.97293	23.48	68	1.00299	32.71	188	1.56827	34.82	124	1.57161	88.96
22	211	1.00130	33.35	67	1.68597	57.21	67	1.64706	36.32	179	1.23834	24.30	218	1.05212	32.27
23	346	1.05438	8.01	88	1.64930	17.34	68	1.01571	42.67	190	1.29247	63.33	118	1.26649	62.51
24	221	1.06477	8.89	68	1.60856	18.01	68	1.60856	43.34	192	1.03538	56.80	218	1.05212	58.55
25	270	1.03893	10.97	67	1.68597	27.47	67	1.64706	35.51	175	1.17274	42.54	218	1.05212	80.03
26	248	1.07656	17.44	68	1.61990	29.44	68	1.55876	22.22	142	1.53530	33.82	246	1.07589	46.82
27	390	1.06803	19.67	79	1.97782	41.33	68	1.00499	40.47	192	1.53084	23.42	103	1.60343	35.49
28	238	1.04182	8.47	67	1.94146	17.50	68	1.17647	22.23	136	1.75723	58.77	236	1.04250	60.57
29	216	1.02524	8.18	67	1.68597	23.74	67	1.64706	21.66	182	1.17061	26.78	218	1.05212	76.15
30	238	1.04182	19.62	76	1.12193	27.95	76	1.09979	24.48	136	1.07026	24.83	236	1.04250	33.32
31	332	1.07687	8.42	78	1.93966	17.22	68	1.00299	22.95	187	1.54448	23.51	102	1.53660	69.62
