Graph Info:	./input_data/grids/4.txt	Number of Vertices	59502
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	984	1.02864	184.62	276	1.33754	358.94	212	1.28291	393.03	619	1.01478	452.60	384	1.75224	649.92
1	942	1.01473	221.92	283	1.90529	310.70	201	1.99383	353.79	645	1.33853	427.53	938	1.01460	885.95
2	724	1.01277	117.65	211	1.68240	316.12	212	1.21073	350.46	457	1.50142	457.70	700	1.01419	503.06
3	735	1.01590	135.90	204	1.98515	306.88	204	1.88337	485.58	520	1.53836	413.51	732	1.01600	486.51
4	702	1.00754	128.29	211	1.68240	311.65	211	1.66981	329.01	633	1.05857	425.03	700	1.01419	513.98
5	686	1.01385	136.71	212	1.65726	298.66	211	1.66981	353.50	509	1.35939	447.25	700	1.01419	491.03
6	702	1.02305	122.60	211	1.68240	315.77	205	1.98371	388.72	439	1.47190	415.44	700	1.01419	514.01
7	770	1.01424	133.04	211	1.68240	288.81	234	1.98874	370.92	496	1.33473	413.73	700	1.01419	496.21
8	739	1.02266	114.85	226	1.99149	307.89	226	1.98312	301.95	479	1.66701	417.82	736	1.02277	484.60
9	794	1.02281	124.81	230	1.98496	310.83	230	1.97678	333.46	536	1.50754	404.75	791	1.02271	476.43
10	692	1.00727	132.25	211	1.68240	302.17	211	1.66981	329.52	508	1.33930	432.39	700	1.01419	509.91
11	600	1.01678	124.09	265	1.98984	327.29	212	1.00141	338.75	667	1.44123	417.99	600	1.01678	489.32
12	774	1.01464	120.26	241	1.22581	326.31	212	1.08579	349.36	465	1.13725	428.92	772	1.01471	500.60
13	689	1.02024	126.34	211	1.68240	298.24	211	1.66981	329.47	569	1.18186	433.59	700	1.01419	516.24
14	855	1.00109	125.95	270	1.98026	299.12	212	1.28395	326.78	600	1.27134	420.30	851	1.00123	481.20
15	1244	1.01794	131.76	224	1.99393	321.29	212	1.13241	360.46	525	1.49427	425.02	275	1.62468	544.67
16	600	1.01678	127.50	317	1.97637	310.40	202	1.94079	307.07	649	1.41774	421.64	600	1.01678	519.59
17	957	1.02238	126.51	254	1.99064	306.82	212	1.00060	344.12	633	1.45961	414.39	953	1.02252	498.16
18	694	1.01022	128.80	212	1.65726	304.49	212	1.00000	353.18	534	1.25090	447.28	700	1.01419	507.60
19	600	1.01678	124.98	250	1.98835	316.85	212	1.00020	360.90	652	1.46200	419.96	600	1.01678	526.56
20	773	1.02035	131.85	274	1.63214	293.91	212	1.41152	357.28	546	1.25863	450.84	769	1.02021	504.15
21	1082	1.01691	130.89	242	1.98705	306.77	212	1.00188	365.51	588	1.55344	418.45	324	1.54254	567.34
22	1194	1.03194	121.41	212	1.99108	314.71	212	1.39681	343.51	608	1.36887	442.49	260	1.66557	591.15
23	921	1.02565	126.23	320	1.31250	347.92	274	1.99209	328.98	669	1.07959	472.36	801	1.01993	489.40
24	698	1.01871	116.52	212	1.65726	310.25	211	1.66981	374.32	492	1.35890	490.88	700	1.01419	545.37
25	758	1.00994	133.50	225	1.36683	310.71	212	1.00154	345.08	491	1.29876	436.35	756	1.01001	525.14
26	735	1.00063	115.83	224	1.99243	300.72	224	1.98466	303.89	471	1.68684	426.48	732	1.00073	502.43
27	686	1.01615	119.89	212	1.65726	317.16	212	1.00000	363.52	558	1.19895	419.39	700	1.01419	493.87
28	710	1.00667	126.20	210	1.98157	305.88	210	1.97875	318.82	448	1.73582	408.69	708	1.00660	513.45
29	1310	1.04197	126.45	259	1.98910	324.32	212	1.00161	338.25	643	1.46648	443.78	348	1.57099	576.01
30	1158	1.00509	138.39	259	1.98536	301.22	212	1.00060	363.08	603	1.49047	425.20	359	1.49255	565.77
31	943	1.00934	119.91	284	1.60960	325.56	239	1.98660	386.88	647	1.13151	436.94	939	1.00948	510.61
