Graph Info:	Number of Vertices	3003
		Exact LCA
	Separator Size	Balance Ratio	Runtime (ms)
0	1001	1.66578	256.14
1	1003	1.66356	122.75
2	1003	1.66534	202.68
3	999	1.66445	269.63
4	999	1.66622	209.69
5	1001	1.66401	144.26
6	995	1.66711	174.80
7	997	1.66489	162.07
8	997	1.66667	97.54
9	993	1.66578	89.22
10	993	1.66756	69.45
11	995	1.66533	63.64
12	989	1.66845	84.80
13	991	1.66622	63.55
14	991	1.66800	67.82
15	987	1.66711	147.47
16	987	1.66890	163.07
17	989	1.66667	65.17
18	983	1.66979	61.06
19	985	1.66756	65.63
20	985	1.66934	82.81
21	981	1.66845	86.75
22	981	1.67024	59.15
23	983	1.66801	69.46
24	977	1.67114	93.61
25	979	1.66890	65.81
26	979	1.67069	67.86
27	975	1.66980	100.58
28	975	1.67159	148.06
29	977	1.66935	132.24
30	971	1.67249	146.94
31	973	1.67025	60.23
32	973	1.67204	64.79
33	969	1.67115	57.17
34	969	1.67295	69.64
35	971	1.67070	74.12
36	965	1.67385	58.55
37	967	1.67160	64.83
38	967	1.67340	83.73
39	963	1.67251	77.21
40	963	1.67431	60.90
41	965	1.67205	57.13
42	959	1.67522	117.79
43	961	1.67296	71.38
44	961	1.67476	59.33
45	957	1.67387	53.53
46	957	1.67568	131.34
47	959	1.67341	60.67
48	953	1.67659	53.72
49	955	1.67432	53.34
50	955	1.67613	79.01
51	951	1.67524	86.61
52	951	1.67705	58.32
53	953	1.67478	113.64
54	947	1.67797	75.77
55	949	1.67569	69.13
56	949	1.67751	101.43
57	945	1.67661	75.72
58	945	1.67843	54.93
59	947	1.67615	65.78
60	941	1.67935	104.10
61	943	1.67707	64.70
62	943	1.67889	60.58
63	939	1.67799	76.72
64	939	1.67981	51.97
65	941	1.67753	58.02
66	935	1.68074	137.96
67	937	1.67845	87.91
68	937	1.68027	62.15
69	933	1.67937	74.34
70	933	1.68120	120.08
71	935	1.67891	81.52
72	929	1.68213	99.42
73	931	1.67984	66.27
74	931	1.68166	85.59
75	927	1.68076	111.09
76	927	1.68259	59.54
77	929	1.68030	120.45
78	923	1.68353	79.18
79	925	1.68123	82.48
80	925	1.68306	81.98
81	921	1.68216	92.32
82	921	1.68399	54.77
83	923	1.68169	75.60
84	917	1.68493	91.28
85	919	1.68263	63.51
86	919	1.68446	68.07
87	915	1.68356	92.47
88	915	1.68540	54.86
89	917	1.68309	76.52
90	911	1.68634	101.54
91	913	1.68403	55.83
92	913	1.68587	59.47
93	909	1.68497	92.06
94	909	1.68681	66.88
95	911	1.68450	68.07
96	905	1.68776	102.87
97	907	1.68544	60.04
98	907	1.68729	92.61
99	903	1.68638	76.52
100	903	1.68823	61.21
101	905	1.68591	58.17
102	899	1.68918	77.24
103	901	1.68685	87.06
104	901	1.68871	59.92
105	897	1.68780	53.44
106	897	1.68966	87.66
107	899	1.68733	68.75
108	893	1.69061	58.51
109	895	1.68828	79.93
110	895	1.69013	91.39
111	891	1.68923	78.43
112	891	1.69109	74.01
113	893	1.68875	52.72
114	887	1.69204	67.46
115	889	1.68970	96.66
116	889	1.69156	69.00
117	885	1.69066	63.33
118	885	1.69252	57.92
119	887	1.69018	78.94
120	881	1.69348	69.59
121	883	1.69114	56.00
122	883	1.69300	51.62
123	879	1.69209	70.36
124	879	1.69396	91.48
125	881	1.69161	59.26
126	875	1.69493	51.67
127	877	1.69257	64.83
128	877	1.69444	56.67
129	873	1.69354	129.94
130	873	1.69541	136.92
131	875	1.69306	132.60
132	869	1.69638	252.37
133	871	1.69402	66.78
134	871	1.69589	74.30
135	867	1.69499	52.94
136	867	1.69686	101.98
137	869	1.69450	114.41
138	863	1.69784	56.51
139	865	1.69547	67.98
140	865	1.69735	84.02
141	861	1.69644	59.81
142	861	1.69832	53.12
143	863	1.69596	91.86
144	857	1.69930	66.22
145	859	1.69693	61.36
146	859	1.69881	75.71
147	855	1.69790	57.16
148	855	1.69979	111.20
149	857	1.69741	83.88
150	851	1.70077	94.29
151	853	1.69839	91.82
152	853	1.70028	75.98
153	849	1.69937	120.22
154	849	1.70126	106.46
155	851	1.69888	94.28
156	845	1.70225	130.38
157	847	1.69986	68.49
158	847	1.70175	67.30
159	843	1.70084	53.59
160	843	1.70274	75.79
161	845	1.70035	64.49
162	839	1.70373	48.50
163	841	1.70134	68.83
164	841	1.70323	73.17
165	837	1.70232	127.39
166	837	1.70423	156.49
167	839	1.70183	139.84
168	833	1.70522	68.62
169	835	1.70282	70.74
170	835	1.70472	163.82
171	831	1.70381	69.54
172	831	1.70572	59.99
173	833	1.70331	49.67
174	827	1.70671	66.15
175	829	1.70430	58.64
176	829	1.70621	53.44
177	825	1.70530	45.61
178	825	1.70721	50.94
179	827	1.70480	51.03
180	821	1.70822	52.08
181	823	1.70580	49.64
182	823	1.70771	47.43
183	819	1.70680	53.16
184	819	1.70872	49.58
185	821	1.70630	48.15
186	815	1.70972	43.79
187	817	1.70730	52.82
188	817	1.70922	52.77
189	813	1.70830	50.75
190	813	1.71023	45.84
191	815	1.70780	51.32
192	809	1.71124	56.86
193	811	1.70881	44.47
194	811	1.71073	50.98
195	807	1.70982	52.61
196	807	1.71174	48.45
197	809	1.70931	50.07
198	803	1.71276	53.20
199	805	1.71032	59.41
200	805	1.71225	60.20
201	801	1.71133	54.81
202	801	1.71327	56.91
203	803	1.71083	60.21
204	797	1.71429	53.21
205	799	1.71184	80.40
206	799	1.71378	76.14
207	795	1.71286	59.70
208	795	1.71480	59.30
209	797	1.71235	59.33
210	791	1.71582	70.45
211	793	1.71337	100.00
212	793	1.71531	57.61
213	789	1.71439	66.12
214	789	1.71633	72.39
215	791	1.71388	61.79
216	785	1.71736	58.62
217	787	1.71490	164.42
218	787	1.71685	68.11
219	783	1.71593	74.63
220	783	1.71788	59.16
221	785	1.71541	69.17
222	779	1.71891	64.36
223	781	1.71644	106.69
224	781	1.71839	76.40
225	777	1.71747	65.90
226	777	1.71942	67.36
227	779	1.71695	61.83
228	773	1.72046	62.11
229	775	1.71799	62.47
230	775	1.71994	71.36
231	771	1.71902	68.45
232	771	1.72098	60.10
233	773	1.71850	53.05
234	767	1.72202	67.94
235	769	1.71954	67.44
236	769	1.72150	64.90
237	765	1.72058	54.58
238	765	1.72254	64.88
239	767	1.72006	67.42
240	761	1.72359	55.17
241	763	1.72110	95.81
242	763	1.72307	87.74
243	759	1.72214	58.77
244	759	1.72411	55.35
245	761	1.72162	72.41
246	755	1.72516	69.47
247	757	1.72266	67.24
248	757	1.72464	64.47
249	753	1.72371	61.09
250	753	1.72569	56.00
251	755	1.72319	59.50
252	749	1.72674	66.38
253	751	1.72424	56.17
254	751	1.72622	55.59
255	747	1.72529	61.06
256	747	1.72727	58.78
257	749	1.72476	55.85
258	743	1.72833	53.71
259	745	1.72582	104.97
260	745	1.72780	82.07
261	741	1.72688	57.49
262	741	1.72886	53.76
263	743	1.72635	57.20
264	737	1.72993	57.29
265	739	1.72741	52.46
266	739	1.72939	51.30
267	735	1.72847	54.11
268	735	1.73046	61.14
269	737	1.72794	57.41
270	731	1.73153	58.91
271	733	1.72900	66.58
272	733	1.73099	69.16
273	729	1.73007	59.16
274	729	1.73206	52.72
275	731	1.72953	70.10
276	725	1.73314	87.78
277	727	1.73060	71.75
278	727	1.73260	54.68
279	723	1.73167	64.44
280	723	1.73368	63.35
281	725	1.73114	51.75
282	719	1.73475	59.67
283	721	1.73221	59.69
284	721	1.73421	68.48
285	717	1.73328	56.25
286	717	1.73529	66.17
287	719	1.73275	60.52
288	713	1.73638	62.95
289	715	1.73382	52.68
290	715	1.73584	77.78
291	711	1.73490	69.00
292	711	1.73692	49.33
293	713	1.73436	54.79
294	707	1.73801	58.05
295	709	1.73545	79.10
296	709	1.73746	54.11
297	705	1.73653	51.38
298	705	1.73855	50.40
299	707	1.73599	55.39
300	701	1.73964	53.35
301	703	1.73708	50.68
302	703	1.73910	52.90
303	699	1.73817	52.57
304	699	1.74019	53.57
305	701	1.73762	51.47
306	695	1.74129	45.68
307	697	1.73871	56.31
308	697	1.74074	56.51
309	693	1.73981	51.99
310	693	1.74184	55.34
311	695	1.73926	58.23
312	689	1.74294	55.92
313	691	1.74036	47.09
314	691	1.74239	51.20
315	687	1.74146	53.85
316	687	1.74349	58.37
317	689	1.74091	52.11
318	683	1.74460	50.70
319	685	1.74201	54.75
320	685	1.74405	56.71
321	681	1.74311	49.59
322	681	1.74516	49.08
323	683	1.74256	53.46
324	677	1.74627	53.72
325	679	1.74367	49.25
326	679	1.74571	50.44
327	675	1.74478	52.66
328	675	1.74683	53.00
329	677	1.74422	50.51
330	671	1.74794	48.84
331	673	1.74533	54.48
332	673	1.74738	52.08
333	669	1.74645	48.64
334	669	1.74850	49.43
335	671	1.74589	55.96
336	665	1.74963	53.53
337	667	1.74701	51.38
338	667	1.74906	63.57
339	663	1.74813	76.85
340	663	1.75019	62.45
341	665	1.74757	55.91
342	659	1.75131	55.51
343	661	1.74869	56.53
344	661	1.75075	50.23
345	657	1.74981	46.65
346	657	1.75188	46.98
347	659	1.74925	53.74
348	653	1.75301	54.31
349	655	1.75038	46.94
350	655	1.75245	58.86
351	651	1.75151	77.72
352	651	1.75358	66.16
353	653	1.75094	46.13
354	647	1.75472	52.62
355	649	1.75207	58.80
356	649	1.75415	63.87
357	645	1.75321	61.59
358	645	1.75529	49.15
359	647	1.75264	55.27
360	641	1.75643	51.29
361	643	1.75378	46.65
362	643	1.75586	49.71
363	639	1.75492	58.19
364	639	1.75700	65.96
365	641	1.75435	53.62
366	635	1.75815	52.89
367	637	1.75549	53.15
368	637	1.75758	50.06
369	633	1.75663	45.30
370	633	1.75873	49.85
371	635	1.75606	56.94
372	629	1.75988	54.59
373	631	1.75721	47.81
374	631	1.75930	49.10
375	627	1.75836	48.36
376	627	1.76046	60.10
377	629	1.75778	54.55
378	623	1.76161	48.83
379	625	1.75894	55.01
380	625	1.76104	54.66
381	621	1.76009	53.43
382	621	1.76220	49.68
383	623	1.75951	52.86
384	617	1.76336	55.75
385	619	1.76067	49.39
386	619	1.76278	43.55
387	615	1.76183	44.38
388	615	1.76394	46.23
389	617	1.76125	48.06
390	611	1.76511	47.64
391	613	1.76241	42.84
392	613	1.76453	44.78
393	609	1.76358	47.37
394	609	1.76570	87.76
395	611	1.76300	72.95
396	605	1.76687	50.58
397	607	1.76417	67.91
398	607	1.76628	64.17
399	603	1.76534	46.11
400	603	1.76746	55.08
401	605	1.76475	52.98
402	599	1.76864	47.84
403	601	1.76592	47.74
404	601	1.76805	46.81
405	597	1.76710	54.39
406	597	1.76923	51.01
407	599	1.76651	47.83
408	593	1.77042	44.71
409	595	1.76769	42.05
410	595	1.76982	41.94
411	591	1.76888	46.21
412	591	1.77101	44.72
413	593	1.76828	40.86
414	587	1.77220	57.96
415	589	1.76947	67.33
416	589	1.77160	49.21
417	585	1.77066	42.74
418	585	1.77280	42.71
419	587	1.77006	52.57
420	581	1.77399	50.20
421	583	1.77125	59.21
422	583	1.77340	44.06
423	579	1.77245	40.99
424	579	1.77459	42.18
425	581	1.77185	50.57
426	575	1.77580	49.20
427	577	1.77304	43.82
428	577	1.77519	44.46
429	573	1.77424	44.03
430	573	1.77640	46.13
431	575	1.77364	47.41
432	569	1.77760	45.25
433	571	1.77484	40.33
434	571	1.77700	41.89
435	567	1.77605	45.68
436	567	1.77821	49.86
437	569	1.77545	48.06
438	563	1.77942	46.00
439	565	1.77665	46.57
440	565	1.77882	55.19
441	561	1.77786	72.15
442	561	1.78003	62.07
443	563	1.77726	67.29
444	557	1.78125	149.25
445	559	1.77847	56.21
446	559	1.78064	48.02
447	555	1.77969	55.54
448	555	1.78186	44.09
449	557	1.77908	44.40
450	551	1.78309	53.44
451	553	1.78030	51.66
452	553	1.78247	65.18
453	549	1.78152	52.39
454	549	1.78370	49.30
455	551	1.78091	52.32
456	545	1.78493	51.01
457	547	1.78213	48.15
458	547	1.78431	52.01
459	543	1.78336	73.85
460	543	1.78555	67.81
461	545	1.78275	58.68
462	539	1.78678	81.72
463	541	1.78397	50.70
464	541	1.78616	48.37
465	537	1.78521	46.06
466	537	1.78740	49.71
467	539	1.78459	45.22
468	533	1.78864	44.51
469	535	1.78583	40.03
470	535	1.78802	46.57
471	531	1.78707	46.48
472	531	1.78927	44.04
473	533	1.78645	39.82
474	527	1.79051	40.15
475	529	1.78769	43.03
476	529	1.78989	47.94
477	525	1.78893	45.77
478	525	1.79114	42.62
479	527	1.78831	37.06
480	521	1.79239	44.00
481	523	1.78956	43.62
482	523	1.79177	44.64
483	519	1.79081	42.83
484	519	1.79302	44.15
485	521	1.79018	43.45
486	515	1.79428	49.55
487	517	1.79144	52.61
488	517	1.79365	63.41
489	513	1.79269	38.87
490	513	1.79491	44.25
491	515	1.79206	43.80
492	509	1.79618	42.15
493	511	1.79332	44.54
494	511	1.79554	52.05
495	507	1.79459	56.85
496	507	1.79681	45.00
497	509	1.79395	43.73
498	503	1.79808	38.48
499	505	1.79522	44.82
500	505	1.79745	52.02
501	501	1.79649	45.61
502	501	1.79872	39.28
503	503	1.79585	43.46
504	497	1.80000	67.60
505	499	1.79712	58.19
506	499	1.79936	46.39
507	495	1.79840	40.40
508	495	1.80064	41.58
509	497	1.79776	43.23
510	491	1.80192	45.29
511	493	1.79904	43.18
512	493	1.80128	41.18
513	489	1.80032	38.00
514	489	1.80257	40.86
515	491	1.79968	41.77
516	485	1.80386	43.71
517	487	1.80096	40.01
518	487	1.80321	38.97
519	483	1.80225	57.17
520	483	1.80451	52.21
521	485	1.80161	43.03
522	479	1.80580	38.50
523	481	1.80290	40.49
524	481	1.80515	45.75
525	477	1.80419	45.41
526	477	1.80645	46.78
527	479	1.80354	42.44
528	473	1.80775	41.35
529	475	1.80484	40.26
530	475	1.80710	43.31
531	471	1.80614	42.75
532	471	1.80841	41.29
533	473	1.80549	40.86
534	467	1.80972	41.38
535	469	1.80679	45.87
536	469	1.80906	43.27
537	465	1.80810	42.40
538	465	1.81037	41.25
539	467	1.80744	41.12
540	461	1.81169	42.69
541	463	1.80875	49.77
542	463	1.81103	43.33
543	459	1.81006	33.92
544	459	1.81235	41.50
545	461	1.80941	45.78
546	455	1.81367	42.49
547	457	1.81072	38.27
548	457	1.81301	67.02
549	453	1.81204	116.39
550	453	1.81433	44.94
551	455	1.81138	41.65
552	449	1.81566	50.68
553	451	1.81270	50.85
554	451	1.81500	44.87
555	447	1.81403	42.03
556	447	1.81633	41.16
557	449	1.81337	46.72
558	443	1.81766	45.44
559	445	1.81469	45.00
560	445	1.81699	42.08
561	441	1.81603	35.68
562	441	1.81833	44.52
563	443	1.81536	40.54
564	437	1.81967	42.78
565	439	1.81669	38.48
566	439	1.81900	43.54
567	435	1.81803	38.18
568	435	1.82034	43.35
569	437	1.81736	41.59
570	431	1.82169	37.63
571	433	1.81870	37.37
572	433	1.82102	35.72
573	429	1.82005	43.89
574	429	1.82237	42.98
575	431	1.81938	41.85
576	425	1.82372	38.88
577	427	1.82072	37.55
578	427	1.82305	40.45
579	423	1.82208	41.35
580	423	1.82440	43.04
581	425	1.82140	40.27
582	419	1.82576	36.89
583	421	1.82275	36.63
584	421	1.82508	45.37
585	417	1.82411	39.79
586	417	1.82645	38.12
587	419	1.82343	37.78
588	413	1.82781	37.88
589	415	1.82479	34.06
590	415	1.82713	39.38
591	411	1.82616	38.46
592	411	1.82850	40.17
593	413	1.82548	36.49
594	407	1.82988	37.43
595	409	1.82684	44.82
596	409	1.82919	53.97
597	405	1.82822	53.61
