Graph Info:	./input_data/./grids/4.txt	Number of Vertices	59502
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	212	1.00315	453.29	212	1.00315	416.44	212	1.61205	356.46	212	1.61205	349.98
1	212	1.02854	416.98	212	1.02854	362.27	212	1.02854	368.84	212	1.02854	356.05
2	212	1.00000	381.41	212	1.00000	351.75	212	1.65726	348.14	212	1.65726	358.80
3	211	1.66981	383.28	211	1.66981	371.37	212	1.65726	361.42	212	1.65726	338.92
4	211	1.66981	360.04	211	1.66981	341.04	211	1.66981	340.74	211	1.66981	368.44
5	211	1.66981	347.93	211	1.66981	333.48	211	1.66981	351.30	211	1.66981	372.88
6	212	1.26104	382.71	212	1.26104	357.55	212	1.26104	367.64	212	1.26104	379.68
7	211	1.68240	360.92	211	1.68240	330.18	212	1.00154	362.89	212	1.00154	396.52
8	212	1.00000	365.56	212	1.00000	365.26	212	1.65726	347.36	212	1.65726	371.77
9	212	1.00315	365.55	212	1.00315	363.17	218	1.32301	367.23	218	1.32301	384.70
10	211	1.66981	345.49	211	1.66981	365.92	211	1.66981	349.04	211	1.66981	338.78
11	208	1.99403	347.78	208	1.99403	335.41	208	1.99403	323.37	208	1.99403	343.66
12	212	1.08856	373.68	212	1.17411	340.75	212	1.30752	358.21	212	1.30752	367.74
13	256	1.97289	349.08	256	1.97289	331.51	256	1.97289	346.09	256	1.97289	366.19
14	212	1.02867	358.35	244	1.96845	325.12	212	1.65726	353.91	212	1.65726	353.20
15	211	1.66981	348.07	211	1.66981	342.66	211	1.66981	353.74	211	1.66981	354.69
16	269	1.98586	355.41	269	1.98586	353.83	270	1.97506	327.41	270	1.97506	360.85
17	211	1.66981	344.74	241	1.96491	362.16	211	1.66981	350.31	211	1.66981	361.92
18	211	1.66981	389.30	211	1.66981	381.06	212	1.65726	336.39	212	1.65726	358.65
19	212	1.00000	358.63	212	1.00000	364.84	212	1.65726	353.42	212	1.65726	360.28
20	212	1.00107	353.31	212	1.00107	366.51	252	1.43834	360.91	212	1.00107	386.55
21	261	1.97254	383.27	261	1.97254	394.81	297	1.08781	374.97	297	1.08781	382.56
22	212	1.21442	373.30	212	1.21442	381.88	292	1.49620	355.06	212	1.21442	392.59
23	212	1.22457	359.10	212	1.22457	345.58	212	1.22457	356.48	212	1.22457	364.33
24	212	1.00060	377.45	212	1.00060	369.80	276	1.97078	339.05	212	1.00060	361.63
25	212	1.96789	342.96	212	1.96789	333.94	212	1.96789	322.84	212	1.96789	350.34
26	212	1.12854	366.97	212	1.12854	351.13	212	1.12854	365.83	212	1.12854	367.33
27	212	1.04332	371.38	255	1.98040	378.19	212	1.65726	346.92	212	1.65726	369.53
28	214	1.99343	377.62	214	1.99343	331.17	214	1.99343	349.18	214	1.99343	369.51
29	211	1.66981	366.41	211	1.66981	376.00	212	1.65726	338.12	212	1.65726	349.77
30	212	1.00000	357.92	212	1.00000	363.23	212	1.65726	357.82	212	1.65726	355.73
31	211	1.66981	388.78	211	1.66981	379.72	212	1.65726	357.43	212	1.65726	346.97
32	212	1.00087	378.35	212	1.00087	373.15	235	1.52705	360.49	235	1.52705	358.63
33	212	1.38151	359.79	212	1.38151	358.47	212	1.38151	345.27	212	1.38151	371.04
34	266	1.97146	362.91	266	1.97146	336.75	266	1.97146	328.37	266	1.97146	362.52
35	205	1.85529	348.00	205	1.85529	329.42	206	1.85207	360.41	205	1.85529	360.30
36	212	1.05818	359.58	216	1.98994	364.16	216	1.98994	350.22	216	1.98994	357.44
37	212	1.00000	361.41	212	1.00000	370.17	212	1.65726	354.77	212	1.65726	341.08
38	212	1.00033	366.98	212	1.00033	355.61	216	1.97341	337.51	216	1.97341	346.10
39	211	1.66981	406.38	211	1.66981	382.26	212	1.65726	338.42	212	1.65726	374.02
40	212	1.31396	385.35	212	1.31396	371.56	274	1.06938	350.79	212	1.31396	388.43
41	211	1.66981	349.60	260	1.98511	378.91	211	1.66981	335.63	211	1.66981	353.87
42	212	1.00060	368.12	212	1.00060	364.19	234	1.53237	351.62	234	1.53237	356.13
43	211	1.66981	385.22	211	1.66981	369.53	212	1.65726	358.61	212	1.65726	371.78
44	211	1.66981	391.65	211	1.66981	368.51	212	1.65726	351.50	212	1.65726	367.00
45	211	1.66981	361.38	211	1.66981	334.59	211	1.66981	343.92	211	1.66981	357.47
46	277	1.97986	391.92	277	1.97986	387.29	322	1.05447	383.08	322	1.05447	395.54
47	212	1.00000	357.42	212	1.00000	376.30	212	1.65726	350.19	212	1.65726	356.12
48	212	1.00000	360.83	212	1.00000	361.75	212	1.65726	351.08	212	1.65726	363.16
49	212	1.00000	386.63	212	1.00000	367.49	212	1.65726	351.22	212	1.65726	357.44
50	246	1.97832	349.73	246	1.97832	333.63	246	1.97832	331.39	246	1.97832	365.43
51	211	1.66981	388.92	211	1.66981	380.39	212	1.65726	334.73	212	1.65726	351.31
52	212	1.00134	374.77	212	1.00134	370.42	274	1.97083	343.20	212	1.00134	379.97
53	212	1.00067	377.85	212	1.00067	353.76	240	1.53832	360.21	240	1.53832	364.52
54	257	1.99064	414.79	257	1.99064	381.38	308	1.30003	362.48	308	1.30003	386.02
55	211	1.66981	351.86	211	1.66981	335.27	211	1.66981	355.57	211	1.66981	358.42
56	212	1.35159	353.91	212	1.35159	355.41	212	1.36679	361.73	212	1.36679	364.44
57	212	1.01519	380.05	212	1.01519	375.97	296	1.77936	351.46	212	1.01519	375.95
58	221	1.98436	392.29	221	1.98436	390.35	324	1.04136	360.54	221	1.98436	428.16
59	212	1.77908	337.92	212	1.77908	333.93	212	1.77908	349.15	212	1.77908	362.98
60	212	1.58446	344.38	228	1.98665	334.39	228	1.98665	341.92	228	1.98665	347.87
