Graph Info:	./input_data/./random/4.txt	Number of Vertices	50003
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	3	1.05668	453.56	3	1.05668	313.68	9	1.91768	284.20	3	1.05668	322.58
1	3	1.61524	367.62	3	1.61524	325.74	7	1.18843	321.68	3	1.61524	351.77
2	5	1.58854	344.53	5	1.58854	323.72	9	1.99904	298.98	5	1.58854	327.33
3	3	1.05668	332.47	3	1.05668	324.64	6	1.99509	288.80	3	1.05668	321.86
4	6	1.36159	304.20	6	1.36159	309.30	8	1.37244	305.32	6	1.36159	310.06
5	3	1.05668	327.42	3	1.05668	325.53	9	1.91768	301.07	3	1.05668	341.01
6	3	1.61524	299.64	5	1.09580	318.78	9	1.91768	306.02	5	1.09580	330.25
7	3	1.61524	308.10	6	1.12136	323.99	9	1.91768	288.54	6	1.12136	337.51
8	4	1.38549	307.78	4	1.38549	310.57	7	1.47550	314.18	4	1.38549	321.17
9	4	1.11634	325.67	4	1.11634	326.25	10	1.80546	295.67	4	1.11634	336.37
10	9	1.38368	305.16	9	1.38368	303.27	11	1.39473	353.00	9	1.38368	339.56
11	7	1.22554	313.70	7	1.22554	313.96	13	1.90150	295.15	7	1.22554	316.02
12	6	1.06163	312.19	6	1.06163	352.38	8	1.05942	319.10	6	1.06163	353.33
13	4	1.11634	332.33	4	1.11634	309.42	10	1.80546	289.15	4	1.11634	338.46
14	3	1.05668	326.18	3	1.05668	314.25	9	1.91768	302.77	3	1.05668	341.68
15	6	1.06163	312.35	6	1.06163	308.11	8	1.05942	318.20	6	1.06163	336.35
16	3	1.05668	325.28	3	1.05668	308.74	5	1.05981	314.49	3	1.05668	334.88
17	6	1.74926	346.59	6	1.74926	335.00	11	1.99844	308.00	6	1.74926	341.43
18	4	1.29274	320.62	4	1.29274	320.48	10	1.52196	308.08	4	1.29274	319.20
19	6	1.36886	319.17	6	1.36886	336.95	11	1.88981	297.67	6	1.36886	332.64
20	3	1.05668	322.86	4	1.66363	343.19	5	1.05981	317.94	4	1.66363	344.32
21	3	1.05668	313.78	3	1.05668	305.35	9	1.91768	300.12	3	1.05668	338.08
22	7	1.35952	329.51	7	1.35952	330.85	12	1.90380	300.15	7	1.35952	345.94
23	3	1.61524	302.81	6	1.05350	303.96	9	1.91768	302.51	6	1.05350	335.45
24	7	1.72772	298.56	7	1.72772	302.58	10	1.93177	293.38	7	1.72772	315.33
25	4	1.61461	305.26	4	1.61461	288.99	7	1.61819	297.81	4	1.61461	311.90
26	6	1.74926	337.61	6	1.74926	319.44	11	1.99844	291.95	6	1.74926	353.76
27	5	1.26270	321.61	5	1.26270	298.89	11	1.48566	303.19	5	1.26270	334.84
28	6	1.74926	338.09	6	1.74926	329.65	11	1.99844	292.98	6	1.74926	366.76
29	4	1.15362	332.18	4	1.15362	315.03	9	1.97019	300.43	4	1.15362	328.50
30	6	1.48751	327.47	6	1.48751	324.50	10	1.99838	298.04	6	1.48751	338.64
31	4	1.38549	338.15	4	1.38549	334.02	9	1.31109	316.09	4	1.38549	339.66
32	4	1.38549	353.15	4	1.38549	323.00	9	1.31109	335.98	4	1.38549	342.72
33	6	1.74926	336.09	6	1.74926	336.49	11	1.99844	308.30	6	1.74926	338.69
34	4	1.38549	318.44	4	1.38549	312.26	7	1.47550	304.84	4	1.38549	322.74
35	3	1.05668	338.67	3	1.05668	335.83	9	1.91768	295.93	3	1.05668	334.18
36	4	1.29075	307.97	4	1.29075	313.79	7	1.29351	318.34	4	1.29075	324.71
37	3	1.61524	333.50	3	1.61524	339.82	7	1.18843	324.41	3	1.61524	341.84
38	3	1.61524	337.90	3	1.61524	321.70	7	1.18843	336.93	3	1.61524	345.89
39	3	1.05668	316.06	3	1.05668	307.44	9	1.91768	302.74	3	1.05668	334.67
40	3	1.05668	317.90	3	1.05668	319.56	5	1.05981	313.77	3	1.05668	330.04
41	6	1.74926	340.53	6	1.74926	331.72	11	1.99844	300.09	6	1.74926	372.06
42	3	1.05668	327.02	4	1.66363	329.11	5	1.05981	313.62	4	1.66363	341.64
43	3	1.61524	331.43	3	1.61524	319.59	7	1.18843	315.69	3	1.61524	355.82
44	5	1.58854	330.99	5	1.58854	330.15	9	1.99904	300.65	5	1.58854	344.02
45	4	1.52446	338.60	4	1.52446	330.67	8	1.12451	324.39	4	1.52446	354.25
46	6	1.36886	338.45	6	1.36886	321.89	11	1.88981	298.29	6	1.36886	347.44
