Graph Info:	./input_data/cylinder/rnd/4.txt	Number of Vertices	30003
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	3	1.00053	1096.14	3	1.72707	351.48	11	1.99810	270.16	3	1.72707	186.71
1	3	1.00053	1157.63	3	1.99970	215.34	11	1.99810	168.88	11	1.99810	188.58
2	3	1.00053	357.84	3	1.46800	173.59	11	1.99810	170.15	3	1.46800	183.14
3	3	1.00053	349.08	3	1.60922	164.37	11	1.99810	198.84	3	1.60922	190.93
4	3	1.00053	343.42	3	1.52576	170.98	11	1.99810	180.56	3	1.52576	200.24
5	3	1.00053	879.73	3	1.99970	177.80	11	1.99810	174.67	3	1.99970	208.35
6	3	1.00053	599.56	3	1.99970	170.69	11	1.99810	183.14	3	1.99970	195.84
7	3	1.00053	718.66	3	1.99970	171.05	11	1.99810	172.99	3	1.99970	206.77
8	3	1.00053	892.85	6	1.99940	192.30	6	1.99850	174.27	6	1.99850	175.72
9	3	1.00053	310.23	3	1.23592	168.33	11	1.99810	184.08	3	1.23592	189.04
10	3	1.00053	756.64	3	1.99970	178.65	11	1.99810	173.58	3	1.99970	203.53
11	3	1.00053	532.69	6	1.99940	170.07	6	1.99850	178.25	6	1.99940	185.30
12	3	1.00053	870.48	6	1.99940	174.59	6	1.99850	172.38	6	1.99940	205.99
13	3	1.00053	1147.84	3	1.99970	218.17	11	1.99810	163.04	11	1.99810	180.18
14	3	1.00053	344.71	3	1.53815	151.09	11	1.99810	184.56	3	1.53815	181.61
15	3	1.00053	647.64	3	1.99970	174.98	11	1.99810	169.17	3	1.99970	188.63
16	3	1.00053	927.89	3	1.99970	174.96	11	1.99810	181.77	11	1.99810	185.63
17	3	1.00053	314.47	3	1.07611	164.73	11	1.99810	174.42	3	1.07611	198.39
18	3	1.00053	984.94	3	1.99970	180.11	11	1.99810	181.34	11	1.99810	176.34
19	3	1.00053	1044.63	3	1.99970	173.54	11	1.99810	188.04	11	1.99810	171.02
20	3	1.00053	336.92	3	1.44947	166.67	11	1.99810	176.84	3	1.44947	202.13
21	3	1.00053	933.87	6	1.99940	179.04	6	1.99850	177.43	6	1.99940	202.15
22	3	1.00053	644.56	6	1.99940	175.23	6	1.99850	179.89	6	1.99940	194.16
23	3	1.00053	378.37	3	1.64790	173.53	11	1.99810	182.38	3	1.64790	202.74
24	3	1.00053	652.84	6	1.99940	183.40	6	1.99850	167.07	6	1.99940	197.08
25	3	1.00053	324.16	3	1.33364	158.00	11	1.99810	184.52	3	1.33364	181.33
26	3	1.00053	323.13	3	1.19166	159.02	11	1.99810	180.96	3	1.19166	186.29
27	3	1.00053	558.83	3	1.99970	180.87	11	1.99810	181.71	3	1.99970	195.10
28	3	1.00053	421.91	3	1.84579	167.01	11	1.99810	177.52	3	1.84579	190.24
29	3	1.00053	723.30	3	1.99970	180.52	11	1.99810	172.02	3	1.99970	203.67
30	3	1.00053	927.22	3	1.99970	181.27	11	1.99810	173.44	11	1.99810	174.32
31	3	1.00053	772.43	3	1.99970	175.09	11	1.99810	182.63	3	1.99970	186.57
32	3	1.00053	663.72	6	1.99940	184.02	6	1.99850	171.05	6	1.99940	202.97
33	3	1.00053	354.91	3	1.63534	163.72	11	1.99810	156.84	3	1.63534	174.39
34	3	1.00053	483.49	3	1.99970	176.54	11	1.99810	167.56	3	1.99970	195.88
35	3	1.00053	1033.91	6	1.99940	195.04	6	1.99850	173.20	6	1.99850	185.06
36	3	1.00053	483.56	3	1.99970	173.64	11	1.99810	169.34	3	1.99970	191.15
37	3	1.00053	588.93	3	1.99970	167.70	11	1.99810	164.48	3	1.99970	198.94
38	3	1.00053	317.88	3	1.32984	181.63	11	1.99810	172.28	3	1.32984	189.52
39	3	1.00053	993.50	3	1.99970	176.17	11	1.99810	174.19	11	1.99810	176.93
40	3	1.00053	338.66	3	1.42728	169.64	11	1.99810	183.51	3	1.42728	192.51
41	3	1.00053	1026.46	3	1.99970	192.41	11	1.99810	173.02	11	1.99810	174.73
42	3	1.00053	313.00	3	1.03901	159.77	11	1.99810	188.35	3	1.03901	180.11
43	3	1.00053	494.16	3	1.99970	177.80	11	1.99810	174.96	3	1.99970	189.89
44	3	1.00053	1056.63	3	1.99970	189.59	11	1.99810	182.36	11	1.99810	180.74
45	3	1.00053	319.26	3	1.31349	149.25	11	1.99810	180.18	3	1.31349	182.53
46	3	1.00053	576.81	3	1.99970	179.04	11	1.99810	186.58	3	1.99970	191.36
47	3	1.00053	335.99	3	1.36528	157.43	11	1.99810	173.34	3	1.36528	194.51
48	3	1.00053	828.09	3	1.99970	168.19	11	1.99810	171.90	3	1.99970	203.11
49	3	1.00053	712.07	6	1.99940	176.34	6	1.99850	194.30	6	1.99940	207.27
50	3	1.00053	615.36	6	1.99940	181.20	6	1.99850	172.23	6	1.99940	205.69
51	3	1.00053	345.83	3	1.56374	164.94	11	1.99810	169.06	3	1.56374	175.41
52	3	1.00053	759.63	3	1.99970	169.53	11	1.99810	168.62	3	1.99970	200.31
53	3	1.00053	306.43	3	1.21496	167.78	11	1.99810	168.20	3	1.21496	191.22
54	3	1.00053	316.07	3	1.16041	164.24	11	1.99810	173.49	3	1.16041	184.14
55	3	1.00053	950.99	3	1.99970	169.51	11	1.99810	179.69	11	1.99810	168.20
56	3	1.00053	980.12	3	1.99970	177.91	11	1.99810	181.74	11	1.99810	171.02
57	3	1.00053	870.87	6	1.99940	169.28	6	1.99850	182.26	6	1.99940	195.46
58	3	1.00053	796.59	6	1.99940	166.76	6	1.99850	167.66	6	1.99940	202.71
