Graph Info:	./input_data/./sphere/c_8.txt	Number of Vertices	26246
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	6	1.39985	126.32	6	1.39985	149.72	10	1.43698	143.19	6	1.39985	162.70
1	7	1.05712	136.01	7	1.05712	175.32	11	1.03039	138.80	7	1.05712	171.23
2	6	1.00000	148.96	6	1.00000	171.32	10	1.02577	136.76	6	1.00000	175.87
3	7	1.01869	141.46	7	1.01869	166.26	11	1.00696	133.22	7	1.01869	178.84
4	7	1.01869	136.87	7	1.01869	159.49	11	1.00696	155.48	7	1.01869	163.98
5	7	1.05712	153.38	7	1.05712	145.79	12	1.41209	161.51	7	1.05712	144.59
6	6	1.00000	177.24	6	1.00000	136.94	10	1.43698	151.52	6	1.00000	151.07
7	9	1.00298	172.53	9	1.00298	136.34	14	1.06301	136.92	9	1.00298	175.12
8	8	1.02499	132.12	8	1.02499	154.36	12	1.05141	144.92	8	1.02499	166.95
9	7	1.05712	130.85	7	1.05712	152.76	12	1.41209	154.57	7	1.05712	160.30
10	6	1.00000	148.34	6	1.00000	151.21	11	1.06618	159.21	6	1.00000	151.53
11	6	1.39985	145.59	6	1.39985	163.47	10	1.43698	135.09	6	1.39985	163.79
12	8	1.02499	148.93	8	1.02499	170.96	12	1.05141	133.11	8	1.02499	182.84
13	7	1.05712	128.87	7	1.05712	157.77	12	1.00857	147.39	7	1.05712	166.10
14	6	1.00000	145.07	6	1.00000	146.35	11	1.06618	168.76	6	1.00000	143.77
15	6	1.00000	161.85	6	1.00000	140.58	11	1.06618	159.07	6	1.00000	136.51
16	9	1.00267	172.33	9	1.00267	129.74	14	1.06333	156.71	9	1.00267	158.19
17	6	1.00000	160.77	6	1.00000	143.14	10	1.02577	140.40	6	1.00000	181.83
18	8	1.02499	148.64	8	1.02499	142.49	12	1.40084	167.51	8	1.02499	149.07
19	6	1.39985	168.78	6	1.39985	150.73	7	1.99897	156.28	6	1.39985	155.14
20	7	1.05712	143.34	7	1.05712	170.10	12	1.00857	137.12	7	1.05712	181.83
21	7	1.05712	137.43	7	1.05712	162.65	12	1.00857	141.31	7	1.05712	176.75
22	8	1.00198	149.82	8	1.00198	164.14	12	1.43988	144.24	8	1.00198	168.57
23	6	1.00000	134.93	6	1.00000	163.22	10	1.43698	140.98	6	1.00000	168.04
24	8	1.00091	128.34	8	1.00091	171.95	13	1.06520	140.61	8	1.00091	158.05
25	6	1.00000	145.50	6	1.00000	164.12	10	1.02577	136.54	6	1.00000	180.12
26	9	1.00650	132.19	9	1.00650	159.84	14	1.48557	141.50	9	1.00650	175.38
