Graph Info:	./input_data/cylinder/symm/4.txt	Number of Vertices	3003
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	5	1.00133	27.43	5	1.99602	20.76	6	1.99403	19.54	6	1.99403	19.19
1	5	1.00133	44.96	5	1.99602	34.96	6	1.99403	33.29	5	1.99602	21.24
2	5	1.00133	26.77	5	1.99602	20.01	6	1.99403	17.14	6	1.99403	33.22
3	5	1.00133	48.51	5	1.99602	34.23	6	1.99403	19.62	6	1.99403	23.02
4	3	1.31409	21.39	3	1.31409	17.01	6	1.99403	16.74	3	1.31409	30.28
5	5	1.00133	56.29	5	1.99602	26.96	6	1.99403	13.04	6	1.99403	8.44
6	3	1.20705	11.52	3	1.20705	8.40	6	1.99403	7.46	3	1.20705	9.07
7	3	1.02834	9.88	3	1.02834	8.44	6	1.99403	8.31	3	1.02834	8.73
8	5	1.00133	26.99	5	1.99602	18.77	6	1.99403	18.11	6	1.99403	17.54
9	5	1.00133	31.65	5	1.99602	12.45	6	1.99403	7.74	5	1.99602	8.48
10	3	1.30345	9.59	3	1.30345	7.77	6	1.99403	7.51	3	1.30345	9.92
11	5	1.00133	15.63	5	1.99602	7.72	6	1.99403	7.22	6	1.99403	7.81
12	5	1.00133	21.03	5	1.99602	30.98	6	1.99403	18.66	6	1.99403	18.96
13	5	1.00133	29.78	5	1.99602	21.89	6	1.99403	8.41	6	1.99403	9.17
14	5	1.00133	17.28	5	1.99602	8.18	6	1.99403	7.68	6	1.99403	8.20
15	5	1.00133	15.12	5	1.99602	10.23	6	1.99403	19.22	6	1.99403	20.14
16	5	1.00133	30.51	5	1.99602	17.22	6	1.99403	16.94	6	1.99403	9.42
17	3	1.67914	10.93	3	1.67914	7.80	6	1.99403	7.28	3	1.67914	8.58
18	5	1.00133	22.18	5	1.99602	8.46	6	1.99403	9.18	6	1.99403	8.99
19	5	1.00133	27.47	5	1.99602	17.18	6	1.99403	22.54	6	1.99403	21.69
20	3	1.64380	27.44	3	1.64380	10.43	6	1.99403	7.72	3	1.64380	10.22
21	5	1.00133	15.97	5	1.99602	9.49	6	1.99403	8.58	6	1.99403	10.57
