Graph Info:	./input_data/cylinder/unsymm/4.txt	Number of Vertices	30003
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	3	1.00013	1675.52	3	1.99970	153.32	4	1.00007	156.63	4	1.00007	151.24
1	3	1.00013	1460.35	3	1.99940	154.32	4	1.00007	157.56	4	1.00007	153.50
2	3	1.00000	1067.04	4	1.99950	158.82	3	1.00000	162.10	3	1.00000	169.36
3	6265	1.76117	6395.63	6265	1.76117	159.00	16264	1.55140	166.99	6265	1.76117	172.87
4	3	1.20811	1126.02	3	1.20811	134.95	4	1.20867	171.16	3	1.20811	154.97
5	3	1.00000	625.96	3	1.24361	140.58	3	1.00000	166.16	3	1.24361	154.17
6	3	1.00013	704.04	3	1.99970	141.94	4	1.00007	165.18	4	1.00007	149.57
7	3	1.25034	1228.28	3	1.25034	156.98	4	1.25092	164.99	3	1.25034	158.81
8	3	1.00000	806.50	4	1.99950	145.33	3	1.00000	163.42	3	1.00000	147.87
9	6041	1.76772	6473.94	6041	1.76772	155.37	16040	1.55482	157.57	6041	1.76772	168.41
10	3	1.00013	548.31	3	1.84687	130.53	4	1.00007	168.32	3	1.84687	135.62
11	3	1.00013	561.20	3	1.69354	139.44	4	1.00007	161.64	3	1.69354	135.94
12	3	1.00013	1152.49	3	1.99970	190.84	4	1.00007	158.89	4	1.00007	159.85
13	6075	1.76693	6085.92	6075	1.76693	145.62	16074	1.55416	168.36	6075	1.76693	164.43
14	3	1.12869	990.24	3	1.12869	128.21	4	1.12921	155.38	3	1.12869	150.25
15	8889	1.69205	7371.95	8889	1.69205	156.45	18888	1.51419	157.04	8889	1.69205	171.37
16	3	1.00013	610.54	3	1.22135	141.74	4	1.00007	166.33	3	1.22135	135.10
17	3	1.00000	709.18	3	1.16728	128.71	3	1.00000	164.54	3	1.16728	148.94
