Graph Info:	x	Number of Vertices	59502
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	212	1.33067	355.74	212	1.33067	363.97	212	1.33067	306.73	212	1.33067	328.65
1	211	1.66981	655.93	211	1.66981	290.25	211	1.66981	297.03	211	1.66981	303.89
2	212	1.97218	301.28	212	1.97218	291.26	212	1.97218	298.22	212	1.97218	311.06
3	212	1.00060	318.56	212	1.00060	316.38	250	1.97451	290.27	212	1.00060	328.90
4	211	1.66981	298.14	227	1.97826	327.81	211	1.66981	302.25	211	1.66981	306.61
5	211	1.66981	291.43	211	1.66981	305.30	211	1.66981	297.41	211	1.66981	305.03
6	212	1.80981	302.61	212	1.80981	292.24	212	1.80981	299.97	212	1.80981	306.70
7	212	1.49954	309.30	212	1.49954	294.27	212	1.49954	295.95	212	1.49954	329.92
8	211	1.66981	329.53	211	1.66981	326.57	212	1.65726	299.74	212	1.65726	319.29
9	212	1.37810	326.84	212	1.37810	320.18	320	1.97119	296.90	212	1.37810	333.80
10	212	1.45021	297.02	236	1.98496	305.37	236	1.98496	296.52	236	1.98496	306.23
11	211	1.66981	294.44	211	1.66981	300.24	211	1.66981	296.38	211	1.66981	307.71
12	212	1.13608	326.63	212	1.13608	316.43	260	1.15250	313.25	212	1.13608	348.15
13	212	1.00000	316.99	212	1.43522	300.06	212	1.62502	296.20	212	1.62502	313.56
14	212	1.02448	323.69	212	1.02448	316.73	300	1.77555	352.80	212	1.02448	415.92
15	212	1.42120	339.91	212	1.42120	331.92	212	1.57732	334.14	212	1.57732	317.87
16	211	1.66981	365.32	211	1.66981	459.52	212	1.65726	334.35	212	1.65726	352.17
17	211	1.66981	403.20	211	1.66981	380.14	211	1.66981	337.97	211	1.66981	373.46
18	212	1.00114	326.17	212	1.00114	369.74	216	1.65697	311.37	216	1.65697	401.72
19	212	1.16402	358.64	212	1.16402	376.88	212	1.16402	403.71	212	1.16402	388.21
20	212	1.00047	373.67	212	1.00047	389.40	232	1.36889	396.85	232	1.36889	429.32
21	211	1.66981	383.39	212	1.42572	395.28	211	1.66981	307.43	211	1.66981	323.09
22	212	1.08856	325.45	244	1.96300	356.41	212	1.65726	309.05	212	1.65726	388.33
23	231	1.98218	413.39	231	1.98218	467.27	283	1.74520	364.71	283	1.74520	347.51
24	212	1.00007	349.56	212	1.00007	333.58	212	1.00007	375.93	212	1.00007	431.31
25	211	1.66981	335.37	211	1.66981	425.40	212	1.65726	361.34	212	1.65726	330.90
26	212	1.00228	333.33	212	1.00228	321.47	212	1.56371	307.26	212	1.56371	314.17
27	211	1.66981	313.16	211	1.66981	299.65	211	1.66981	299.88	211	1.66981	327.45
28	211	1.66981	310.29	211	1.66981	294.42	211	1.66981	325.85	211	1.66981	385.03
29	266	1.98437	334.12	266	1.98437	335.83	266	1.98437	372.07	266	1.98437	388.04
30	212	1.24801	402.79	212	1.24801	396.95	266	1.10986	367.29	212	1.24801	398.06
31	255	1.98233	367.48	255	1.98233	376.32	288	1.09129	335.50	288	1.09129	348.33
