Graph Info:	x	Number of Vertices	500003
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	5	1.65522	8040.24	5	1.65522	5209.73	9	1.68777	5654.68	5	1.65522	4507.54
1	4	1.54011	5409.62	4	1.54011	4718.13	11	1.88013	4019.48	4	1.54011	5890.83
2	4	1.54011	4415.97	4	1.54011	5353.03	9	1.98475	4078.10	4	1.54011	5275.55
3	5	1.37340	4499.23	5	1.37340	4395.57	8	1.37428	5265.93	5	1.37340	4570.08
4	5	1.65522	4248.62	5	1.65522	5551.54	9	1.68777	4040.33	5	1.65522	4471.04
5	4	1.54011	5443.59	4	1.54011	4476.56	11	1.88013	3907.04	4	1.54011	4695.52
6	4	1.54011	4697.55	4	1.54011	4085.98	9	1.98475	3997.47	4	1.54011	5202.88
7	5	1.29453	4353.56	5	1.29453	4327.78	7	1.26996	4380.78	5	1.29453	5458.88
8	4	1.54011	4066.43	4	1.54011	4119.69	9	1.98475	3870.16	4	1.54011	5161.93
9	5	1.65522	4062.72	5	1.65522	4028.83	9	1.68777	3915.34	5	1.65522	5295.06
10	4	1.54011	4085.95	4	1.54011	4074.65	9	1.98475	3878.13	4	1.54011	5285.97
11	7	1.95504	3975.61	14	1.97741	3998.45	18	1.97782	3927.19	14	1.97741	5024.50
12	4	1.69806	4006.76	4	1.69806	4171.00	8	1.73167	4178.69	4	1.69806	5239.93
13	4	1.54011	4083.05	4	1.54011	4048.77	9	1.98475	3933.66	4	1.54011	5283.60
14	10	1.41925	4131.47	10	1.41925	4093.52	13	1.94704	3871.46	10	1.41925	5336.42
15	7	1.77959	4017.86	7	1.77959	4015.71	9	1.84751	3916.48	7	1.77959	5045.23
16	6	1.13366	4322.06	6	1.13366	4295.02	10	1.05253	4257.24	6	1.13366	5646.61
17	8	1.21556	4157.13	10	1.93640	3992.23	12	1.93770	3851.06	10	1.93640	6021.85
18	7	1.95504	5277.82	7	1.95504	4713.09	10	1.96162	4090.24	7	1.95504	5020.73
19	4	1.69806	3863.55	4	1.69806	3865.86	8	1.73167	3793.24	4	1.69806	5154.89
20	5	1.65522	3887.60	5	1.65522	3841.78	9	1.68777	3747.92	5	1.65522	5036.57
21	4	1.54011	3893.99	4	1.54011	3863.53	9	1.98475	3654.93	4	1.54011	4957.05
22	5	1.73834	3695.94	5	1.73834	3687.10	11	1.81128	3616.47	5	1.73834	4867.32
23	5	1.97300	3692.90	5	1.97300	3683.22	12	1.99971	3607.04	5	1.97300	4730.08
24	5	1.97300	3645.78	5	1.97300	3664.39	12	1.99971	3550.03	5	1.97300	4849.51
25	4	1.69806	3682.98	4	1.69806	3680.58	9	1.83518	3615.48	4	1.69806	4924.01
26	5	1.73834	3704.03	5	1.73834	3658.56	11	1.81128	3545.28	5	1.73834	4864.49
27	4	1.69806	4062.82	4	1.69806	4050.94	8	1.97652	3588.68	4	1.69806	5254.37
28	4	1.69806	4080.48	4	1.69806	4073.36	8	1.97652	3572.88	4	1.69806	5101.98
29	4	1.54011	4068.26	4	1.54011	3995.00	11	1.88013	3606.95	4	1.54011	5228.35
30	5	1.37340	3864.85	5	1.37340	3838.30	8	1.37428	3754.82	5	1.37340	4867.14
31	4	1.54011	3771.96	4	1.54011	3894.41	9	1.98475	3553.82	4	1.54011	4959.90
