Graph Info:	x	Number of Vertices	300003
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	3	1.00004	109562.29	7	1.99992	3893.38	5	1.99981	3257.25	7	1.99992	3241.93
1	3	1.00004	106805.37	7	1.99992	3093.56	5	1.99981	4053.04	7	1.99992	3556.83
2	3	1.00001	98496.86	3	1.99997	3307.90	9	1.99994	1935.79	3	1.99997	2478.74
3	3	1.00001	70464.48	3	1.99997	2357.28	9	1.99994	2024.60	3	1.99997	2622.21
4	3	1.00004	99008.81	7	1.99992	2302.93	5	1.99981	1942.68	5	1.99981	2046.73
5	3	1.00001	33610.66	3	1.97407	2011.29	9	1.99994	1906.26	3	1.97407	2109.63
6	3	1.00004	38637.60	3	1.64922	2218.45	9	1.99994	2003.57	3	1.64922	2418.73
7	3	1.00001	101375.69	3	1.99997	2319.51	9	1.99994	1972.52	3	1.99997	2371.74
8	3	1.00001	126655.13	3	1.99997	2366.92	9	1.99994	2112.57	9	1.99994	2026.87
9	3	1.00001	120363.99	3	1.99997	2275.37	9	1.99994	1967.96	9	1.99994	2287.47
10	3	1.00001	132594.49	3	1.99997	2420.53	9	1.99994	2047.43	3	1.99997	2454.63
11	3	1.00004	89111.56	7	1.99992	2337.48	5	1.99981	1934.44	7	1.99992	2333.29
12	3	1.00004	106898.51	7	1.99992	2968.29	5	1.99981	1979.52	7	1.99992	2395.69
13	3	1.00001	19844.55	3	1.13234	2046.75	9	1.99994	2469.86	3	1.13234	2281.35
14	3	1.00004	50570.65	7	1.99992	3271.27	5	1.99981	1956.09	7	1.99992	2479.06
15	3	1.00001	45228.78	3	1.88210	1991.80	9	1.99994	1891.01	3	1.88210	2089.11
16	3	1.00001	100039.10	3	1.99997	2353.16	9	1.99994	1918.48	3	1.99997	2423.54
17	3	1.00004	190819.67	7	1.99992	2954.73	5	1.99981	1979.16	5	1.99981	2022.77
18	3	1.00004	17677.15	3	1.05664	2084.43	9	1.99994	2023.79	3	1.05664	2264.26
19	3	1.00001	108588.65	3	1.99997	2279.77	9	1.99994	1932.01	3	1.99997	2375.22
20	3	1.00004	54188.52	7	1.99992	2296.59	5	1.99981	2637.29	7	1.99992	2412.56
21	3	1.00001	128036.44	3	1.99997	2337.58	9	1.99994	1894.25	9	1.99994	2153.56
22	3	1.00001	64711.25	3	1.99997	2305.91	9	1.99994	1894.11	3	1.99997	2377.39
23	3	1.00004	142015.86	7	1.99992	2405.96	5	1.99981	2199.69	5	1.99981	3456.90
24	3	1.00004	19950.84	3	1.09727	2112.52	9	1.99994	2014.41	3	1.09727	2328.42
25	3	1.00001	37542.72	3	1.99997	3199.27	9	1.99994	1913.65	3	1.99997	2388.29
26	3	1.00001	21957.38	3	1.09352	2091.87	9	1.99994	1955.42	3	1.09352	2294.79
27	3	1.00001	28996.47	3	1.71472	2808.17	9	1.99994	1969.27	3	1.71472	2207.35
28	3	1.00004	117817.70	7	1.99992	2667.23	5	1.99981	2264.53	7	1.99992	2571.71
29	3	1.00004	23779.14	3	1.29610	2425.24	9	1.99994	2193.56	3	1.29610	2415.55
30	3	1.00004	64598.70	7	1.99992	2579.95	5	1.99981	2135.74	7	1.99992	2637.65
31	3	1.00004	100696.16	7	1.99992	2265.57	5	1.99981	1959.37	7	1.99992	2374.14
