Graph Info:	./input_data/./sphere/c_5.txt	Number of Vertices	974
Current run parameter:	use_max_degree_root = false
		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	7	1.01852	5.17	9	1.03942	4.85	7	1.01852	4.01
1	7	1.01852	3.51	10	1.46000	36.67	7	1.01852	2.15
2	9	1.35731	1.92	11	1.38499	2.02	9	1.35731	2.10
3	7	1.00613	1.94	10	1.47859	2.56	7	1.00613	2.26
4	8	1.02474	2.19	10	1.04574	2.30	8	1.02474	2.49
5	8	1.02058	2.06	10	1.45387	2.17	8	1.02058	2.29
6	7	1.40441	2.05	8	1.97576	1.98	7	1.40441	2.21
7	6	1.00000	1.97	9	1.06513	2.05	6	1.00000	2.17
8	8	1.05870	1.99	10	1.03306	2.07	8	1.05870	2.32
9	7	1.00204	2.13	10	1.48485	2.04	7	1.00204	3.72
10	8	1.05439	2.62	10	1.07595	2.27	8	1.05439	2.56
11	7	1.01852	2.06	9	1.00204	2.15	7	1.01852	2.13
12	8	1.38350	1.96	10	1.41176	2.05	8	1.38350	2.30
13	7	1.39268	2.54	9	1.42118	2.72	7	1.39268	3.13
14	8	1.05439	2.13	10	1.07595	2.45	8	1.05439	3.83
15	7	1.01852	2.24	10	1.04574	2.39	7	1.01852	2.46
16	8	1.00818	2.32	10	1.01227	2.27	8	1.00818	2.40
17	8	1.05010	2.03	10	1.02469	2.06	8	1.05010	2.17
18	8	1.05439	1.98	10	1.07595	2.07	8	1.05439	2.16
19	6	1.00000	2.05	9	1.06513	2.13	6	1.00000	2.27
20	8	1.02058	2.05	10	1.04149	2.11	8	1.02058	2.22
21	8	1.05439	1.95	10	1.07595	2.50	8	1.05439	2.37
22	6	1.39609	4.08	8	1.42469	2.26	6	1.39609	2.16
23	7	1.00613	2.02	9	1.01434	2.10	7	1.00613	2.76
24	6	1.39609	3.17	7	1.97273	2.29	6	1.39609	2.53
25	7	1.42222	2.26	9	1.96084	2.10	7	1.42222	2.28
26	8	1.00818	1.93	10	1.41176	1.98	8	1.00818	2.12
27	8	1.05439	1.94	10	1.07595	2.02	8	1.05439	2.13
28	7	1.05660	3.46	10	1.40587	2.15	7	1.05660	2.17
29	7	1.01852	1.94	10	1.04574	2.01	7	1.01852	2.14
30	6	1.00000	1.94	8	1.02058	2.03	6	1.00000	2.30
31	6	1.00000	1.95	9	1.06513	2.01	6	1.00000	3.28
32	8	1.05439	2.59	10	1.07595	2.27	8	1.05439	2.39
33	7	1.01852	2.07	9	1.03942	2.17	7	1.01852	2.27
34	6	1.00000	1.98	9	1.06513	2.02	6	1.00000	2.12
35	8	1.00818	1.93	10	1.01227	2.15	8	1.00818	2.21
36	6	1.39609	2.04	7	1.97273	2.00	6	1.39609	2.22
37	6	1.39609	1.89	8	1.42469	1.98	6	1.39609	2.08
38	8	1.02058	1.94	10	1.04149	2.18	8	1.02058	21.99
39	7	1.05660	1.97	9	1.07822	2.04	7	1.05660	2.12
40	8	1.00818	1.94	11	1.05637	2.04	8	1.00818	2.12
41	8	1.43069	1.98	10	1.97281	1.95	8	1.43069	2.18
42	7	1.01852	1.94	10	1.04574	2.03	7	1.01852	2.14
43	7	1.01852	1.94	9	1.03942	2.03	7	1.01852	2.11
44	7	1.00613	1.94	10	1.05858	2.03	7	1.00613	2.12
45	8	1.02058	1.96	11	1.51918	3.77	8	1.02058	2.77
46	6	1.00000	2.16	8	1.02058	2.28	6	1.00000	2.23
47	6	1.39609	2.02	8	1.42469	1.99	6	1.39609	2.09
48	7	1.00204	1.95	9	1.01848	2.03	7	1.00204	2.14
49	8	1.02058	1.93	10	1.00000	2.02	8	1.02058	2.31
50	8	1.05010	2.19	10	1.02469	2.21	8	1.05010	2.33
51	6	1.00000	2.09	9	1.06513	2.25	6	1.00000	2.66
52	7	1.00613	2.41	10	1.47859	2.45	7	1.00613	3.08
53	6	1.00000	2.55	8	1.02058	2.65	6	1.00000	3.03
54	8	1.05439	2.49	10	1.07595	2.45	8	1.05439	2.52
55	6	1.00000	2.35	8	1.42469	2.38	6	1.00000	2.51
56	7	1.36957	2.16	9	1.39756	2.22	7	1.36957	2.50
57	8	1.02058	2.45	11	1.45636	2.27	8	1.02058	2.45
58	8	1.02058	2.51	10	1.04149	2.11	8	1.02058	2.21
59	7	1.00204	2.06	10	1.48485	2.27	7	1.00204	2.73
60	6	1.00000	2.41	8	1.02058	2.23	6	1.00000	2.35
61	9	1.06513	2.24	12	1.00000	2.41	9	1.06513	2.74
62	6	1.00000	2.54	8	1.02058	2.24	6	1.00000	2.47
63	6	1.00000	2.80	8	1.42469	5.39	6	1.00000	5.70
