Graph Info:	x	Number of Vertices	708590
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	7	1.01869	8918.65	7	1.01869	7110.08	13	1.00714	6913.08	7	1.01869	7529.79
1	6	1.00000	8300.47	6	1.00000	8017.53	13	1.06622	7885.92	6	1.00000	8427.52
2	7	1.01869	9198.21	7	1.01869	7378.12	13	1.00714	6679.31	7	1.01869	13980.75
3	10	1.02110	7240.93	10	1.02110	9092.36	17	1.04417	8534.27	10	1.02110	10448.24
4	6	1.00000	7291.11	6	1.00000	8683.77	12	1.02597	8768.20	6	1.00000	11646.11
5	6	1.00000	6811.61	6	1.00000	7527.42	13	1.06622	7920.81	6	1.00000	8763.04
6	9	1.00092	9563.58	9	1.00092	7241.73	16	1.06524	8028.03	9	1.00092	10126.63
7	7	1.05714	10173.33	7	1.05714	7289.88	13	1.03037	7467.20	7	1.05714	9141.58
8	7	1.01869	9961.13	7	1.01869	8070.76	14	1.04665	7399.17	7	1.01869	8952.23
9	7	1.00619	9664.53	7	1.00619	8998.09	13	1.03232	7655.49	7	1.00619	10430.97
10	7	1.05714	6759.60	7	1.05714	8995.98	14	1.00858	8929.12	7	1.05714	11357.01
11	7	1.00206	6859.43	7	1.00206	7911.76	13	1.02808	8373.26	7	1.00206	11629.83
12	7	1.05714	7541.50	7	1.05714	8897.28	13	1.08462	9437.52	7	1.05714	10104.47
13	9	1.36208	7430.35	9	1.36208	6973.98	15	1.39838	7450.21	9	1.36208	9065.92
14	7	1.00206	9870.85	7	1.00206	8376.60	13	1.02808	8055.11	7	1.00206	10354.32
15	10	1.02709	8183.12	10	1.02709	7973.06	16	1.05376	7983.25	10	1.02709	9224.47
16	8	1.05932	8620.50	8	1.05932	8360.99	14	1.03249	8424.95	8	1.05932	8756.96
17	8	1.00826	8273.17	8	1.00826	7824.72	14	1.01756	8042.44	8	1.00826	8774.83
18	7	1.01869	7879.58	7	1.01869	7686.94	14	1.46747	10411.62	7	1.01869	8919.28
19	10	1.05742	10962.73	10	1.05742	8961.88	16	1.08491	7953.60	10	1.05742	6993.39
20	8	1.05787	6997.78	8	1.05787	7082.84	14	1.08537	7233.67	8	1.05787	7239.21
21	10	1.05505	8446.19	10	1.05505	8082.71	17	1.41524	7573.94	10	1.05505	8724.83
22	7	1.00619	8539.01	7	1.00619	7808.91	14	1.05966	7203.53	7	1.00619	6923.06
23	6	1.00000	7109.94	6	1.00000	6787.40	12	1.02597	7621.09	6	1.00000	8432.34
24	7	1.01869	7736.00	7	1.01869	7577.66	14	1.52516	7468.54	7	1.01869	8055.27
25	9	1.05811	8208.64	9	1.05811	7823.26	15	1.03131	8178.30	9	1.05811	7566.01
26	7	1.05714	7353.24	7	1.05714	7455.78	13	1.03037	8257.62	7	1.05714	8192.13
27	6	1.00000	7792.51	6	1.00000	6835.18	12	1.43748	6875.15	6	1.00000	7296.24
28	9	1.00527	7625.81	9	1.00527	8047.79	16	1.50420	7512.67	9	1.00527	6941.91
29	6	1.00000	7638.53	6	1.00000	6941.74	13	1.06622	7014.01	6	1.00000	7561.16
30	8	1.01799	7306.11	8	1.01799	7404.35	14	1.04443	7086.73	8	1.01799	8451.76
31	7	1.01869	7369.32	7	1.01869	7845.15	14	1.46747	7203.88	7	1.01869	8009.70
