Graph Info:	x	Number of Vertices	354296
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	5	1.76921	7837.83	5	1.76921	2633.55	7	1.99992	2278.52	5	1.76921	2681.04
1	4	1.99997	2901.16	4	1.99997	2792.22	5	1.99993	2255.76	4	1.99997	2740.51
2	4	1.99997	2644.09	4	1.99997	2631.75	5	1.99993	2355.59	4	1.99997	2782.14
3	4	1.99997	2830.41	4	1.99997	2886.24	5	1.99993	2284.53	4	1.99997	2770.92
4	5	1.76921	2239.71	8	1.79605	2613.95	11	1.85361	2215.16	8	1.79605	2662.64
5	5	1.76921	2575.87	5	1.76921	2612.46	7	1.99992	2223.99	5	1.76921	2664.26
6	4	1.99997	2610.37	4	1.99997	2607.24	5	1.99993	2229.34	4	1.99997	2695.15
7	4	1.99997	2607.98	4	1.99997	2630.52	5	1.99993	2228.48	4	1.99997	2726.51
8	8	1.99552	2658.27	8	1.99552	2647.35	11	1.99993	2166.60	8	1.99552	2830.89
9	5	1.76921	2247.30	5	1.76921	2404.78	5	1.99993	2768.35	5	1.76921	2710.46
10	4	1.99997	2604.15	4	1.99997	2568.18	5	1.99993	2261.48	4	1.99997	2746.96
11	5	1.76921	2592.34	5	1.76921	2593.27	11	1.85361	2419.83	5	1.76921	2726.03
12	5	1.76921	2250.19	5	1.76921	2249.96	5	1.99993	2204.53	5	1.76921	2420.57
13	5	1.76921	2298.33	5	1.76921	2287.55	7	1.99992	2225.53	5	1.76921	2304.51
14	5	1.91889	2301.29	5	1.91889	2309.71	7	1.99992	2221.30	5	1.91889	2404.43
15	6	1.96338	2246.93	6	1.96338	2319.25	9	1.99992	2243.52	6	1.96338	2394.68
16	5	1.76921	2317.27	5	1.76921	2257.35	11	1.87109	2260.33	5	1.76921	2350.24
17	5	1.76921	2224.33	5	1.76921	2313.67	5	1.99993	2216.55	5	1.76921	2358.47
18	4	1.99997	2743.72	4	1.99997	2597.68	5	1.99993	2342.69	4	1.99997	2757.96
19	4	1.99997	2566.46	4	1.99997	2630.13	5	1.99993	2195.40	4	1.99997	2755.83
20	5	1.39999	2335.46	5	1.39999	2332.10	5	1.99993	2266.93	5	1.39999	2390.62
21	4	1.99997	2655.95	4	1.99997	2664.50	5	1.99993	2241.39	4	1.99997	2724.35
22	4	1.99997	2616.83	4	1.99997	2598.17	5	1.99993	2227.64	4	1.99997	2733.83
23	5	1.76921	2227.66	5	1.76921	2230.42	5	1.99993	2236.70	5	1.76921	2372.08
24	4	1.99997	2619.98	4	1.99997	2596.37	5	1.99993	2238.76	4	1.99997	2823.64
25	6	1.97345	2732.40	6	1.97345	2744.37	9	1.99992	2270.92	6	1.97345	2721.96
26	6	1.69998	2552.08	6	1.69998	2574.51	13	1.48493	2552.91	6	1.69998	2696.01
27	5	1.91889	2220.94	5	1.91889	2223.31	7	1.99992	2241.96	5	1.91889	2380.33
28	4	1.99997	2601.43	4	1.99997	2600.64	5	1.99993	2182.95	4	1.99997	2714.00
29	5	1.91889	2283.60	5	1.91889	2211.41	7	1.99992	2262.91	5	1.91889	2330.67
30	4	1.99997	2638.83	4	1.99997	2627.83	5	1.99993	2270.28	4	1.99997	2711.64
31	6	1.99586	2192.05	6	1.99586	2261.65	9	1.99992	2232.68	6	1.99586	2298.59
