Graph Info:	x	Number of Vertices	300003
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	5	1.00001	180283.25	5	1.99996	1973.69	6	1.99994	3304.85	5	1.99996	2024.84
1	3	1.14569	42292.81	3	1.14569	2099.57	6	1.99994	1852.63	3	1.14569	2331.32
2	5	1.00001	147805.82	5	1.99996	2239.76	6	1.99994	1686.40	5	1.99996	2268.89
3	5	1.00001	244169.32	5	1.99996	2055.68	6	1.99994	1675.98	6	1.99994	1848.50
4	5	1.00001	297364.07	5	1.99996	2283.04	6	1.99994	1913.67	6	1.99994	2015.33
5	5	1.00001	295135.29	5	1.99996	2596.07	6	1.99994	1926.60	6	1.99994	2212.30
6	5	1.00001	115142.02	5	1.99996	2150.51	6	1.99994	1771.26	5	1.99996	2538.40
7	5	1.00001	142950.53	5	1.99996	2780.39	6	1.99994	2266.75	5	1.99996	2391.20
8	3	1.81418	78452.20	3	1.81418	1805.39	6	1.99994	1846.63	3	1.81418	1911.70
9	3	1.35643	49444.52	3	1.35643	1808.66	6	1.99994	1816.06	3	1.35643	2063.76
10	5	1.00001	94171.47	5	1.99996	2218.22	6	1.99994	1888.65	5	1.99996	2382.99
11	5	1.00001	115678.49	5	1.99996	2299.31	6	1.99994	2020.97	5	1.99996	3163.10
12	5	1.00001	207226.86	5	1.99996	2010.76	6	1.99994	1776.04	6	1.99994	1991.02
13	3	1.92515	54150.50	3	1.92515	1679.03	6	1.99994	1828.41	3	1.92515	2741.26
14	5	1.00001	144902.41	5	1.99996	1937.10	6	1.99994	1720.34	5	1.99996	2185.74
15	3	1.56317	57429.05	3	1.56317	1735.38	6	1.99994	2253.91	3	1.56317	1917.37
16	3	1.67371	46144.85	3	1.67371	1938.98	6	1.99994	1727.61	3	1.67371	2153.38
17	3	1.48132	51725.99	3	1.48132	1717.24	6	1.99994	1686.30	3	1.48132	1946.54
18	3	1.20979	42209.24	3	1.20979	1912.90	6	1.99994	1720.25	3	1.20979	1872.40
19	5	1.00001	188324.77	5	1.99996	2458.42	6	1.99994	1984.46	6	1.99994	2074.39
20	3	1.07792	47338.97	3	1.07792	1995.50	6	1.99994	1878.91	3	1.07792	2168.50
21	5	1.00001	231286.80	5	1.99996	2313.34	6	1.99994	2079.02	6	1.99994	2430.39
22	3	1.49251	61591.23	3	1.49251	2126.58	6	1.99994	1837.59	3	1.49251	2093.75
23	5	1.00001	223319.12	5	1.99996	2293.41	6	1.99994	2234.49	6	1.99994	2226.60
24	5	1.00001	151126.30	5	1.99996	2248.13	6	1.99994	1922.15	5	1.99996	3181.13
25	5	1.00001	103729.73	5	1.99996	2050.13	6	1.99994	1777.49	5	1.99996	2108.37
26	5	1.00001	94723.95	5	1.99996	1992.16	6	1.99994	1703.66	5	1.99996	2667.28
27	5	1.00001	127641.49	5	1.99996	2034.40	6	1.99994	1829.56	5	1.99996	2156.88
28	5	1.00001	71608.12	5	1.99996	2079.07	6	1.99994	1832.21	5	1.99996	2967.69
29	3	1.70436	53411.08	3	1.70436	2226.13	6	1.99994	1774.75	3	1.70436	2149.86
30	5	1.00001	108822.86	5	1.99996	2068.20	6	1.99994	2535.76	5	1.99996	4337.86
31	5	1.00001	96766.77	5	1.99996	2430.17	6	1.99994	2441.09	5	1.99996	2559.94
