Graph Info:	x	Number of Vertices	30003
Current run parameter:	use_max_degree_root = false
		Exact LCA		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	9921	1.66818	8041.02	9921	1.66818	143.22	19920	1.50090	129.15	9921	1.66818	147.51
1	2993	1.86947	3790.55	2993	1.86947	133.48	12992	1.60607	125.01	2993	1.86947	150.66
2	7675	1.72240	7071.59	7675	1.72240	135.19	17674	1.53076	128.25	7675	1.72240	146.83
3	3	1.48868	1499.15	3	1.48868	136.82	4	1.48938	125.12	3	1.48868	146.93
4	3	1.49136	1473.76	3	1.49136	132.40	4	1.49207	128.86	3	1.49136	142.35
5	3	1.00013	1077.79	3	1.99970	142.56	4	1.00007	137.61	4	1.00007	144.23
6	3	1.00013	512.53	3	1.48517	128.32	4	1.00007	144.24	3	1.48517	139.97
7	4809	1.80606	4673.81	4809	1.80606	139.11	14808	1.57431	126.19	4809	1.80606	145.97
8	5843	1.77381	5153.93	5843	1.77381	137.39	15842	1.55774	136.40	5843	1.77381	143.79
9	3	1.00000	527.34	3	1.31260	126.62	3	1.00000	127.54	3	1.31260	132.58
10	5485	1.78446	5112.34	5485	1.78446	146.88	15484	1.56351	128.47	5485	1.78446	146.30
11	3	1.00013	862.15	3	1.99970	134.18	4	1.00007	129.03	4	1.00007	132.15
12	3	1.00013	1299.80	3	1.99940	138.36	4	1.00007	129.07	4	1.00007	147.84
13	3	1.00000	1164.00	4	1.99950	138.46	3	1.00000	129.09	3	1.00000	133.37
14	3	1.00013	953.66	3	1.02033	143.73	4	1.00007	126.94	3	1.02033	146.62
15	2829	1.87571	3644.12	2829	1.87571	136.90	12828	1.60910	125.34	2829	1.87571	148.73
16	3	1.00013	755.81	3	1.04945	129.95	4	1.00007	124.89	3	1.04945	132.48
17	3	1.84067	2037.72	3	1.84067	137.54	4	1.84157	120.04	3	1.84067	135.04
18	3	1.09261	857.22	3	1.09261	127.28	4	1.09312	128.50	3	1.09261	133.59
19	3	1.00000	551.74	3	1.97679	120.64	3	1.00000	126.06	3	1.97679	123.35
20	3	1.00013	908.36	3	1.99970	131.03	4	1.00007	123.09	4	1.00007	127.93
21	1437	1.93284	2979.05	1437	1.93284	138.95	11436	1.63590	121.26	1437	1.93284	144.59
22	3	1.00013	462.59	3	1.54871	115.96	4	1.00007	124.36	3	1.54871	126.47
23	3	1.00013	1111.60	3	1.99970	131.58	4	1.00007	124.48	4	1.00007	133.09
24	3	1.00000	518.25	3	1.24260	123.05	3	1.00000	127.97	3	1.24260	128.07
25	3	1.29316	1164.50	3	1.29316	132.07	4	1.29376	130.08	3	1.29316	137.76
26	3	1.00000	1114.69	4	1.99950	131.25	3	1.00000	124.09	3	1.00000	130.51
27	3	1.00013	1148.48	3	1.99940	145.34	4	1.00007	126.31	4	1.00007	133.19
28	3	1.00013	483.94	3	1.45047	121.53	4	1.00007	123.84	3	1.45047	129.34
29	3	1.00013	643.16	3	1.99940	129.60	4	1.00007	125.72	4	1.00007	133.12
30	3	1.00013	504.26	3	1.38616	118.10	4	1.00007	125.28	3	1.38616	126.46
31	1073	1.94895	2737.56	1073	1.94895	135.83	11072	1.64335	119.39	1073	1.94895	140.55
