Graph Info:	./input_data/./random/5.txt	Number of Vertices	500003
Current run parameter:	use_max_degree_root = false
		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	3	1.09668	3938.74	7	1.27743	3803.98	3	1.09668	4135.07
1	5	1.15245	5417.83	8	1.60672	3668.93	5	1.15245	4254.65
2	5	1.06749	4060.35	12	1.76817	5180.89	5	1.06749	4127.95
3	5	1.26588	4209.64	9	1.23268	4079.80	5	1.26588	5563.87
4	5	1.05230	3990.83	10	1.09072	3904.42	5	1.05230	4402.18
5	4	1.26486	5045.90	9	1.92773	3614.91	4	1.26486	4127.33
6	5	1.28080	4072.46	8	1.22182	5058.04	5	1.28080	4199.96
7	4	1.99207	3639.91	7	1.99739	3781.15	4	1.99207	5298.28
8	5	1.26348	4080.59	11	1.24509	4019.43	5	1.26348	4272.38
9	3	1.09668	5058.37	7	1.09207	3938.36	3	1.09668	4257.03
10	3	1.09668	4035.07	8	1.22182	5085.50	3	1.09668	4163.07
11	6	1.36498	3857.18	12	1.67311	3895.58	6	1.36498	4367.14
12	4	1.99207	5268.59	7	1.99561	3616.63	4	1.99207	4418.25
13	4	1.22789	11002.14	8	1.60413	7237.67	4	1.22789	4802.07
14	8	1.56195	4525.32	12	1.77230	4173.26	8	1.56195	4533.57
15	4	1.26486	5539.13	9	1.92773	5218.39	4	1.26486	5327.76
16	5	1.86820	4040.36	8	1.96217	4998.22	5	1.86820	4080.59
17	4	1.26486	4207.70	9	1.92773	3852.73	4	1.26486	4287.08
18	3	1.09668	4847.94	7	1.27743	4049.57	3	1.09668	4221.44
19	6	1.36498	3840.49	12	1.67311	4825.41	6	1.36498	3962.47
20	5	1.07880	3997.76	9	1.24050	3867.13	5	1.07880	4142.43
21	6	1.30073	5004.89	12	1.99861	3571.12	6	1.30073	4228.88
22	3	1.09668	4011.68	8	1.22182	4999.92	3	1.09668	4202.37
23	4	1.26486	3866.68	9	1.92773	3672.12	4	1.26486	4034.80
24	4	1.16994	4756.18	9	1.21764	3852.92	4	1.16994	4143.84
25	3	1.09668	4018.85	7	1.09207	5041.04	3	1.09668	4231.76
26	7	1.42702	4125.55	13	1.40589	4025.97	7	1.42702	4248.26
27	6	1.93250	4636.19	10	1.04591	3960.25	6	1.93250	3818.33
28	3	1.09668	3937.57	9	1.94970	3666.20	3	1.09668	4785.07
29	3	1.09668	3984.24	8	1.22182	3858.71	3	1.09668	4186.50
30	7	1.17405	4003.84	15	1.79543	4383.45	7	1.17405	4152.70
31	7	1.26031	4041.33	12	1.92166	3639.60	7	1.26031	5471.94
32	3	1.09668	3935.84	7	1.27743	3841.36	3	1.09668	4082.56
33	4	1.26486	5197.63	10	1.03970	3865.51	4	1.26486	4201.95
34	4	1.26486	3856.42	9	1.92773	4670.70	4	1.26486	4177.94
35	3	1.09668	3984.94	7	1.27743	3863.88	3	1.09668	4089.61
36	6	1.21958	4566.52	11	1.33049	3854.11	6	1.21958	4010.03
37	4	1.18798	4024.95	10	1.17079	5055.45	4	1.18798	4218.06
38	4	1.26486	3882.00	9	1.92773	3622.08	4	1.26486	4646.24
39	4	1.16552	5616.54	7	1.62591	4060.48	4	1.16552	4300.35
40	4	1.09883	4269.73	8	1.09421	4185.84	4	1.09883	5310.14
41	4	1.09242	4185.39	10	1.48635	3939.91	4	1.09242	4330.09
42	3	1.09668	5319.06	7	1.27743	4087.61	3	1.09668	4281.15
43	3	1.09668	3933.54	7	1.27743	3816.74	3	1.09668	4956.89
44	3	1.09668	3850.56	7	1.27743	3821.26	3	1.09668	4064.45
45	10	1.76802	4177.68	15	1.99696	4264.51	10	1.76802	4287.67
46	7	1.47617	3764.35	10	1.56226	3682.37	7	1.47617	5037.70
47	5	1.86820	3723.62	8	1.96217	3628.69	5	1.86820	3807.29
48	6	1.41922	5094.74	12	1.74260	3621.28	6	1.41922	3960.64
49	5	1.15245	3935.55	8	1.60672	5713.02	5	1.15245	4239.31
50	3	1.09668	3925.10	7	1.27743	3794.23	3	1.09668	5327.51
51	6	1.25238	4095.73	12	1.02957	4031.12	6	1.25238	4306.69
52	6	1.30073	4101.83	12	1.99861	4293.61	6	1.30073	4238.76
53	4	1.99207	3694.39	9	1.77542	3688.96	4	1.99207	3825.64
54	4	1.26486	4695.26	9	1.92773	4460.57	4	1.26486	4297.48
55	3	1.09668	4224.99	7	1.27743	4026.86	3	1.09668	5481.57
56	4	1.13781	4369.46	10	1.84523	3958.15	4	1.13781	4469.54
57	4	1.26486	4339.73	10	1.03970	4836.47	4	1.26486	4339.09
58	6	1.57814	3832.50	10	1.79126	3996.96	6	1.57814	5187.43
59	4	1.26486	4113.63	9	1.92773	3869.77	4	1.26486	4283.80
60	4	1.26486	4028.19	9	1.92773	4553.59	4	1.26486	4294.41
61	4	1.26486	4040.49	9	1.92773	3877.23	4	1.26486	4047.05
62	4	1.26486	4742.07	9	1.92773	3860.88	4	1.26486	4329.80
63	5	1.03590	4254.08	11	1.02101	5448.73	5	1.03590	4363.88
