Graph Info:	./input_data/cylinder/rnd/5.txt	Number of Vertices	300003
Current run parameter:	use_max_degree_root = false
		DistToRoot Heuristic			DistToLeaf Heuristic			Combined Heuristic
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)
0	7	1.99992	4683.52	5	1.99981	2733.34	7	1.99992	3197.80
1	7	1.99992	3237.37	5	1.99981	2352.75	7	1.99992	3392.87
2	3	1.99997	2897.55	9	1.99994	2220.57	3	1.99997	2850.69
3	3	1.99997	2796.93	9	1.99994	2378.62	3	1.99997	2991.99
4	7	1.99992	2925.03	5	1.99981	2172.81	5	1.99981	2620.49
5	3	1.97407	2313.57	9	1.99994	2167.46	3	1.97407	3043.22
6	3	1.64922	3059.75	9	1.99994	2423.54	3	1.64922	2533.09
7	3	1.99997	2447.78	9	1.99994	2065.80	3	1.99997	2549.69
8	3	1.99997	2465.06	9	1.99994	2053.16	9	1.99994	2179.80
9	3	1.99997	2467.71	9	1.99994	2072.20	9	1.99994	2206.13
10	3	1.99997	2499.32	9	1.99994	2055.44	3	1.99997	2553.35
11	7	1.99992	2475.68	5	1.99981	2075.55	7	1.99992	2513.57
12	7	1.99992	2486.39	5	1.99981	2065.09	7	1.99992	2546.99
13	3	1.13234	2184.76	9	1.99994	1925.91	3	1.13234	2212.09
14	7	1.99992	2338.45	5	1.99981	2241.80	7	1.99992	2877.93
15	3	1.88210	2676.13	9	1.99994	2426.90	3	1.88210	2604.39
16	3	1.99997	2699.61	9	1.99994	2586.85	3	1.99997	2698.15
17	7	1.99992	2806.82	5	1.99981	2657.16	5	1.99981	2887.13
18	3	1.05664	2548.29	9	1.99994	2171.59	3	1.05664	2538.28
19	3	1.99997	2816.16	9	1.99994	2384.29	3	1.99997	3412.17
20	7	1.99992	3008.27	5	1.99981	3151.35	7	1.99992	3572.98
21	3	1.99997	3291.42	9	1.99994	2499.46	9	1.99994	2310.10
22	3	1.99997	2565.02	9	1.99994	2163.91	3	1.99997	2621.21
23	7	1.99992	2562.22	5	1.99981	2156.94	5	1.99981	2328.12
24	3	1.09727	2403.72	9	1.99994	2163.39	3	1.09727	2519.63
25	3	1.99997	2614.21	9	1.99994	2138.94	3	1.99997	2653.02
26	3	1.09352	2383.20	9	1.99994	2134.31	3	1.09352	2468.16
27	3	1.71472	2252.56	9	1.99994	2155.88	3	1.71472	2320.40
28	7	1.99992	2577.12	5	1.99981	2151.31	7	1.99992	2630.49
29	3	1.29610	2279.28	9	1.99994	2146.10	3	1.29610	2380.54
30	7	1.99992	2547.42	5	1.99981	2176.16	7	1.99992	2683.68
31	7	1.99992	2571.04	5	1.99981	2400.15	7	1.99992	2693.08
32	7	1.99992	4167.07	5	1.99981	3619.29	5	1.99981	2616.20
33	7	1.99992	2752.64	5	1.99981	2191.36	7	1.99992	3032.99
34	3	1.99997	3844.47	9	1.99994	2527.44	3	1.99997	2672.31
35	3	1.42877	2358.58	9	1.99994	2301.61	3	1.42877	2473.67
36	7	1.99992	2455.78	5	1.99981	2082.79	5	1.99981	2069.24
37	3	1.99997	2600.56	9	1.99994	1953.94	9	1.99994	2098.84
38	3	1.99997	2405.53	9	1.99994	1975.13	3	1.99997	2584.70
39	7	1.99992	2394.24	5	1.99981	1988.95	7	1.99992	2500.21
40	3	1.99997	2313.98	9	1.99994	2080.54	3	1.99997	2450.56
41	3	1.76078	1994.83	9	1.99994	2006.42	3	1.76078	2070.25
42	3	1.99997	2532.18	9	1.99994	1967.97	3	1.99997	2412.88
43	7	1.99992	2379.99	5	1.99981	1931.03	5	1.99981	2366.68
44	3	1.99997	2321.06	9	1.99994	2220.18	3	1.99997	2842.67
45	3	1.23520	2358.36	9	1.99994	1988.38	3	1.23520	2353.36
46	3	1.99997	2515.92	9	1.99994	1940.58	9	1.99994	2075.13
47	3	1.95252	2341.38	9	1.99994	1904.47	3	1.95252	2413.28
48	3	1.93161	2291.42	9	1.99994	1918.68	3	1.93161	2409.96
49	7	1.99992	2301.95	5	1.99981	1927.47	5	1.99981	2071.95
50	3	1.99997	2323.65	9	1.99994	1942.58	3	1.99997	2426.18
51	3	1.99997	2337.62	9	1.99994	1964.10	9	1.99994	2287.85
52	3	1.99997	2683.32	9	1.99994	2189.12	9	1.99994	2407.68
53	3	1.41669	2331.54	9	1.99994	2155.61	3	1.41669	2445.96
54	3	1.15518	2480.42	9	1.99994	2279.74	3	1.15518	2402.35
55	3	1.99997	2830.26	9	1.99994	2176.74	3	1.99997	2498.31
56	3	1.99997	2490.43	9	1.99994	2038.21	3	1.99997	2517.38
57	3	1.99997	2531.87	9	1.99994	2089.79	3	1.99997	2608.34
58	7	1.99992	2612.91	5	1.99981	2067.56	5	1.99981	2209.43
59	7	1.99992	2456.92	5	1.99981	2078.48	7	1.99992	2621.94
60	3	1.99997	2780.57	9	1.99994	2235.90	3	1.99997	2591.29
61	3	1.99997	2441.75	9	1.99994	2074.82	9	1.99994	2203.55
62	3	1.09238	2231.78	9	1.99994	2064.22	3	1.09238	2242.59
63	7	1.99992	2330.33	5	1.99981	1980.51	7	1.99992	2454.27
