Graph Info:	./input_data/cylinder/rnd/3.txt	Number of Vertices	3003, Regsion Size	200
		Recursive Divider			Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)
0	22	148.12	23	159.80
1	22	152.11	22	159.25
2	22	140.83	23	164.14
3	22	166.07	23	159.55
4	22	167.44	22	156.45
5	22	138.96	22	168.88
6	22	146.65	22	151.68
7	22	143.54	23	155.62
8	22	136.78	23	153.27
9	22	138.84	22	167.30
10	22	142.90	22	152.62
11	22	148.41	23	151.11
12	22	141.60	23	169.75
13	22	137.40	23	157.67
14	22	150.97	23	163.76
15	22	141.84	23	175.58
