Graph Info:	cylinder/rnd_5	Number of Vertices	300003
	Recursive Divider						Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)
50	9613	68421.13	9613	65049.50	9613	65818.15	0	237669.74	0	231482.35	0	229505.12
100	4686	66433.48	4686	69327.97	4686	63704.25	0	101837.69	0	98357.16	0	96509.23
200	2350	64037.15	2350	61392.81	2350	60782.70	0	49427.13	0	46722.59	0	48181.58
400	1185	64509.22	1185	58334.29	1185	58866.20	0	26497.87	0	27032.77	0	26533.07
600	791	60732.10	791	62590.82	791	57198.97	0	21964.65	0	20815.04	0	22939.92
800	587	59218.13	587	55669.18	587	55783.73	0	22202.43	0	17514.04	0	18561.12
1000	442	61451.04	442	54974.80	442	56620.47	0	17704.05	0	17895.11	0	15740.23
1200	394	57440.69	394	55133.61	394	60000.23	0	16542.49	0	16094.42	0	15997.56
1600	291	55633.72	291	53315.86	291	53610.76	0	16093.26	0	14849.89	0	15249.90
2000	229	58791.25	229	51812.89	229	52853.82	0	15760.30	0	16361.25	0	13382.71
4000	119	49838.86	119	48942.00	119	49267.30	0	14209.52	0	14111.23	0	13689.17
10000	42	44341.69	42	41085.10	42	41783.21	0	14953.07	0	14320.74	0	15092.27
20000	22	36179.51	22	35368.55	22	35141.91	0	14899.75	0	13893.35	0	14105.70
40000	12	33853.05	12	28963.73	12	28988.74	0	15813.64	0	15093.46	0	14825.47
100000	5	20340.50	5	19010.78	5	19566.28	0	16350.09	0	15845.28	0	15681.49
