Graph Info:	cylinder/symm_5	Number of Vertices	30003
	Recursive Divider						Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)
50	957	3731.79	957	3538.37	957	3554.38	0	2551.73	0	2511.98	0	2541.69
100	470	3475.27	470	3455.26	470	3341.47	0	1165.49	0	1276.20	0	1172.95
200	233	3300.82	233	3208.42	233	3173.08	0	946.29	0	935.99	0	1151.03
400	119	3248.01	119	3024.97	119	3036.75	0	869.69	0	928.81	0	869.20
600	79	3004.24	79	2825.82	79	2875.19	0	875.02	0	872.01	0	909.53
800	59	2867.48	59	2836.11	59	2812.81	0	905.60	0	908.14	0	892.75
1000	42	2797.40	42	2619.74	42	2711.22	0	912.43	0	915.83	0	963.68
1200	40	2741.51	40	2727.38	40	2606.60	0	956.59	0	912.56	0	929.15
1600	28	2571.15	28	2569.31	28	2471.31	0	932.89	0	926.79	0	924.91
2000	22	2481.95	22	2495.50	22	2393.35	0	1013.84	0	941.43	0	929.61
4000	12	2123.66	12	2114.23	12	2029.68	0	947.38	0	958.94	0	979.26
10000	5	1495.53	5	1501.39	5	1473.77	0	1024.78	0	1000.91	0	1012.15
20000	2	673.59	2	641.75	2	646.43	0	1028.25	0	1067.99	0	1064.15
40000	1	31.41	1	31.30	1	31.52	0	1092.53	0	1106.48	0	1097.70
100000	1	32.21	1	31.75	1	31.98	0	1213.69	0	1312.37	0	1368.89
