Graph Info:	./input_data/cylinder/unsymm/3.txt	Number of Vertices	3003, Regsion Size	100
		Recursive Divider			Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)
0	49	181.85	47	174.09
1	49	151.69	47	164.85
2	49	153.80	47	134.22
3	49	177.43	47	132.33
4	49	159.84	47	138.91
5	49	165.79	46	145.97
6	49	167.16	46	130.27
7	49	160.16	47	161.13
8	49	170.98	47	149.76
9	49	163.93	48	132.58
10	49	169.31	46	134.51
11	49	167.43	47	146.41
12	49	164.97	48	138.07
13	49	165.59	49	134.04
14	49	185.07	47	147.39
15	49	167.20	47	132.94
