Graph Info:	cylinder/unsymm_5	Number of Vertices	300003
	Recursive Divider						Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)
100	4637	64744.77	4637	63230.81	4637	66759.48	4776	91973.85	4779	107615.37	4779	92394.29
200	2336	67521.25	2336	68346.33	2336	71146.69	2390	43861.16	2372	44278.33	2377	42590.92
400	1185	62669.41	1185	59295.72	1185	64140.97	1164	38425.78	1154	37913.88	1154	36918.48
600	791	62379.97	791	61193.02	791	61380.02	826	41017.98	816	37785.13	835	38006.00
800	587	61988.20	587	56480.30	587	57946.73	620	43453.44	622	42323.66	624	42269.46
1000	442	64277.89	442	76129.15	442	98743.22	455	80168.12	463	53092.52	463	65151.18
1200	394	57603.69	394	62438.26	394	56475.94	412	48939.36	412	48434.55	412	47581.56
1600	291	56771.00	291	56220.17	291	54380.27	306	50192.50	310	46895.73	306	47596.51
2000	229	64857.31	229	62770.48	229	56124.30	236	59248.42	235	57258.28	234	64005.83
4000	119	51222.06	119	48876.01	119	50616.05	118	60915.69	117	67079.16	117	61132.98
10000	42	42805.15	42	41101.11	42	46596.23	42	76669.78	42	71986.35	42	71062.46
20000	22	37086.09	22	39419.33	22	35570.83	22	57565.01	22	59312.77	22	63242.19
40000	12	40226.32	12	30192.68	12	31870.56	12	57881.51	12	56706.19	12	69249.41
100000	5	22341.43	5	21276.03	5	20830.46	5	48013.07	5	45701.47	5	54011.16
