Graph Info:	./input_data/grids/3.txt	Number of Vertices	5963, Regsion Size	400
		Recursive Divider			Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)
0	41	397.92	43	608.26
1	43	401.33	40	556.68
2	43	404.26	41	541.87
3	41	391.01	42	535.25
4	40	417.64	41	534.62
5	42	397.41	41	577.22
6	40	412.55	42	555.59
7	41	397.11	41	554.85
8	40	397.63	40	535.17
9	40	427.34	40	655.70
10	41	776.51	40	722.94
11	41	422.01	40	593.42
12	41	456.89	42	604.17
13	41	426.02	41	573.73
14	41	416.40	40	550.05
15	40	407.24	41	583.72
16	41	608.18	40	883.58
17	43	415.26	41	632.63
18	40	412.41	41	600.39
19	41	398.09	41	557.00
20	43	441.38	40	639.12
21	42	472.32	41	558.90
22	41	413.37	40	576.32
23	41	422.05	40	614.85
24	41	421.93	41	596.41
25	40	389.20	42	621.51
26	40	590.67	41	652.50
27	40	484.50	40	679.41
28	41	529.12	41	689.58
29	40	434.24	42	535.77
30	40	399.80	42	591.26
31	41	505.32	40	605.86
