Graph Info:	grids_5	Number of Vertices	595856
	Recursive Divider						Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)
50	87277	210545.30	86940	202999.65	87255	190442.52	0	3293203.99	0	3026619.01	0	3257065.71
100	35553	178968.89	35592	164933.55	35504	165353.70	0	952669.74	0	951380.48	0	966502.71
200	15095	165339.81	15143	162339.53	15150	155946.67	0	283862.34	0	297985.09	0	294312.13
400	6415	156524.55	6417	151021.96	6364	151680.29	0	82053.73	0	74263.65	0	79117.07
600	3973	149694.92	3978	148143.95	3985	149923.26	0	50893.75	0	51555.73	0	51847.34
800	2775	153430.98	2774	143898.30	2760	138825.15	0	44619.32	0	35148.00	0	39100.63
1000	2181	140430.50	2183	145046.04	2184	141768.74	0	30960.00	0	31558.46	0	31566.87
1200	1754	153123.84	1753	138282.85	1759	151364.96	0	27733.79	0	24692.39	0	24894.14
1600	1296	145319.28	1296	134983.90	1296	153772.79	0	25466.08	0	22630.74	0	23871.95
2000	1003	146049.84	998	141123.17	1000	131927.07	0	26319.27	0	22460.35	0	21760.54
4000	493	133668.48	493	132684.10	493	125999.78	0	31269.45	0	21330.35	0	21377.25
10000	199	122264.64	198	126952.93	200	122296.64	0	23562.82	0	21559.84	0	22309.25
20000	109	114618.03	109	105054.94	109	114450.83	0	26451.93	0	32523.92	0	26982.20
40000	46	99550.24	46	90634.54	46	97805.68	0	28738.20	0	52048.66	0	33425.50
100000	15	72610.61	15	65158.95	15	74263.77	0	46483.79	0	41954.77	0	40843.27
