Graph Info:	random_5	Number of Vertices	5003, Regsion Size	200
		Recursive Divider			Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)
0	40	292.35	41	389.35
1	40	292.09	38	346.81
2	40	295.83	38	356.99
3	40	271.23	38	356.29
4	40	295.14	38	361.92
5	40	269.53	41	365.61
6	40	282.35	38	357.84
7	40	271.18	41	355.48
8	40	294.39	41	363.29
9	40	314.76	41	362.42
10	40	285.30	38	351.60
11	40	280.67	38	363.50
12	40	292.34	38	353.80
13	40	284.85	38	360.91
14	40	271.81	41	368.01
15	40	300.52	41	388.63
