Graph Info:	random_5	Number of Vertices	500003
	Recursive Divider						Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)
25	33484	174011.53	33485	153465.74	33486	145319.27	34666	1396926.15	49903	1393374.60	60225	1364529.18
50	15835	134485.09	15835	125442.47	15835	124355.84	16108	549708.13	22471	460693.40	26615	486145.76
100	7621	139241.75	7621	129587.99	7621	132345.26	7757	225040.13	10298	208249.68	11861	180748.39
200	3816	129913.83	3816	113610.78	3816	112847.96	3823	94236.94	4965	89106.20	5513	95799.21
400	1876	123359.41	1876	118232.09	1876	128375.52	1877	84114.66	2165	89015.59	2353	93557.03
600	1249	137332.83	1250	136841.80	1250	133460.81	1244	87910.36	1494	73782.69	1622	70745.07
800	943	130956.22	943	107623.64	943	116764.32	944	83518.01	1094	80006.38	1243	78616.21
1000	754	124408.75	754	110569.33	754	115078.34	753	81962.82	854	75379.21	931	96861.76
1200	618	119934.65	618	107820.59	618	110139.02	624	109108.03	785	99465.26	833	103851.39
1600	474	113352.76	474	116190.45	474	121049.70	469	104695.18	513	87359.56	590	104067.04
2000	377	101820.57	377	111306.74	377	111935.42	369	108000.97	418	139080.90	440	102426.19
4000	186	102554.71	186	125569.96	186	107739.65	191	135058.26	191	131079.91	208	122850.75
10000	78	105830.14	78	116728.35	78	104780.82	78	166494.43	78	152056.28	78	155632.50
20000	39	90343.39	39	98131.68	39	87353.12	39	150542.86	39	145850.22	39	131308.10
40000	19	65248.91	19	76778.99	19	64667.01	19	128156.85	19	122488.53	19	132099.81
100000	8	59318.50	8	58548.48	8	48689.00	8	107729.95	8	93460.00	8	128073.82
