Graph Info:	Sphere_c_12	Number of Vertices	708590
	Recursive Divider						Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)
100	11664	244466.60	11664	215549.69	11664	189017.88	11677	243116.53	11681	319579.05	11682	341396.75
200	5832	232260.04	5832	218025.29	5832	216790.66	5817	150471.17	5822	181168.69	5833	160685.87
400	1944	248383.91	1944	213959.36	1944	198964.71	2029	105261.17	2024	118019.43	2022	132705.63
600	1944	253937.34	1944	238488.73	1944	242553.03	1950	148552.48	1949	158557.37	1950	162677.40
800	1296	207486.62	1296	223444.77	1296	215439.22	1271	154565.17	1269	169535.29	1274	148673.40
1000	1296	224902.58	1296	215462.26	1296	209148.13	1270	151654.03	1271	144463.70	1272	154531.47
1200	648	241415.10	648	226342.29	648	210208.59	677	140903.17	674	115825.09	676	114625.98
1600	648	173898.75	648	182226.60	648	165724.51	648	117723.89	648	125271.06	650	115029.89
2000	648	175827.31	648	164149.20	648	157078.93	650	164855.67	650	157301.92	651	159473.95
4000	216	150487.52	216	146952.36	216	136344.75	219	189947.36	219	169994.72	226	182689.33
10000	72	126021.35	72	131331.16	72	130440.90	72	218201.12	72	210273.35	72	220421.25
20000	48	121540.56	48	112904.06	48	116736.20	48	196839.20	48	191968.60	48	194513.20
40000	24	109656.00	24	97912.12	24	103504.83	24	182181.53	24	178005.18	24	164785.24
100000	9	75128.31	9	73709.17	9	73380.86	9	143393.61	9	144350.32	9	144576.64
