Graph Info:	Sphere_t_12	Number of Vertices	354296
	Recursive Divider						Frederickson Divider
	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)	Region Number	Runtime (ms)
100	5832	83122.46	5832	77254.33	5832	75540.18	5843	73496.59	5837	70154.92	5837	72439.68
200	2916	78817.24	2916	74080.51	2916	73965.68	2914	52415.61	2913	45790.38	2911	45608.71
400	972	74498.96	972	71636.35	972	71261.29	1027	45425.35	1025	44682.06	1027	44611.34
600	972	72881.48	972	74205.18	972	69152.03	973	48065.66	972	46823.36	975	47143.58
800	648	71817.44	648	67005.97	648	72570.81	623	50835.62	624	49012.97	623	50394.09
1000	648	72528.71	648	68463.49	648	68452.47	632	52712.39	632	53116.04	628	53822.27
1200	324	69065.88	324	65547.28	324	64577.91	341	50710.31	340	49968.11	338	52110.00
1600	324	67209.27	324	72744.05	324	64987.66	326	54924.90	325	55049.47	326	53618.52
2000	324	69450.32	324	72523.50	324	66321.83	324	72403.36	324	72260.15	324	76798.12
4000	108	59336.07	108	55731.75	108	58987.32	108	82291.66	108	101452.72	108	83254.71
10000	36	49074.71	36	53513.39	36	46488.96	36	72437.14	36	72513.18	36	76283.92
20000	24	43217.50	24	41096.43	24	41961.83	24	75374.61	24	68940.08	24	68254.11
40000	12	40137.74	12	33695.19	12	33696.31	12	63219.39	12	61968.30	12	68797.77
100000	4	20428.24	4	19323.28	4	19001.47	4	45609.12	4	52806.67	4	45705.69
