Graph Info:	random 1	Number of Vertices	53
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	31	1.70968	6.59	4	1.28000	4.53	3	1.24000	3.52	6	1.10714	2.90	4	1.37500	4.33
1	24	1.65517	0.81	7	1.72727	1.39	5	1.14815	2.07	8	1.54167	2.06	5	1.14815	4.09
2	24	1.13889	0.66	6	1.36000	1.24	5	1.23077	1.61	6	1.36000	1.76	5	1.52174	3.18
3	34	1.07143	0.68	5	1.63636	1.18	4	1.28000	1.65	9	1.48000	1.70	4	1.37500	2.21
4	25	1.68966	0.64	4	1.37500	1.10	3	1.24000	1.39	6	1.18519	1.48	3	1.33333	2.15
5	33	1.32432	0.70	6	1.56522	1.36	6	1.56522	1.70	6	1.45833	1.84	6	1.36000	2.17
6	22	1.58621	0.56	6	1.56522	1.01	5	1.07143	1.29	9	1.00000	1.99	4	1.19231	3.18
7	31	1.70968	0.57	4	1.37500	1.03	3	1.24000	1.25	4	1.37500	1.91	3	1.33333	2.01
8	31	1.70968	0.52	4	1.28000	0.96	3	1.24000	1.23	6	1.10714	1.41	4	1.37500	2.25
9	29	1.73333	0.54	6	1.56522	0.96	3	1.24000	1.26	9	1.29630	1.52	3	1.24000	2.51
10	22	1.67857	0.57	4	1.37500	0.92	3	1.24000	0.78	8	1.10345	1.35	3	1.33333	1.90
11	25	1.51613	0.52	7	1.72727	0.95	5	1.63636	1.16	8	1.65217	1.35	5	1.52174	7.02
12	28	1.89286	0.52	4	1.37500	8.83	3	1.33333	1.22	6	1.18519	1.23	3	1.33333	1.84
13	24	1.75000	0.52	5	1.14815	0.90	4	1.37500	5.30	5	1.07143	1.22	4	1.19231	2.39
14	29	1.73333	0.51	6	1.56522	0.86	3	1.24000	1.12	9	1.29630	1.13	3	1.24000	1.78
15	29	1.10256	0.49	8	1.54167	0.83	4	1.19231	2.69	8	1.54167	1.28	3	1.33333	1.83
16	29	1.10256	0.52	6	1.68182	0.91	4	1.47826	1.20	8	1.44000	1.33	3	1.33333	1.79
17	33	1.26316	0.50	7	1.72727	0.85	7	1.72727	1.13	12	1.40741	1.10	3	1.24000	1.52
18	31	1.27027	0.41	6	1.56522	0.81	3	1.33333	11.08	13	1.12903	1.16	3	1.33333	1.53
19	24	1.48387	7.70	7	1.72727	0.80	5	1.52174	0.97	9	1.58333	0.93	6	1.18519	4.85
20	22	1.58621	0.46	6	1.56522	0.71	5	1.07143	3.17	9	1.00000	0.92	4	1.19231	3.51
21	22	1.67857	0.37	5	1.07143	3.39	4	1.47826	3.10	7	1.00000	2.45	4	1.19231	1.42
22	25	1.68966	0.39	4	1.37500	0.65	3	1.24000	0.92	6	1.18519	2.53	3	1.33333	5.69
23	22	1.67857	1.13	5	1.07143	0.68	4	1.47826	0.83	7	1.00000	0.78	4	1.19231	1.24
24	33	1.04762	0.89	5	1.32000	0.92	4	1.28000	0.93	7	1.06897	5.89	4	1.37500	1.87
25	30	1.02439	0.42	7	1.60870	0.59	6	1.10714	2.89	8	1.03333	1.07	3	1.33333	1.34
26	33	1.32432	0.30	6	1.56522	2.94	6	1.56522	0.84	6	1.45833	8.03	6	1.36000	5.79
27	22	1.58621	0.32	6	1.56522	0.47	5	1.07143	0.54	9	1.00000	0.70	4	1.19231	4.76
28	22	1.58621	0.21	6	1.56522	0.36	5	1.07143	0.55	9	1.00000	0.93	4	1.19231	3.09
29	24	1.85185	0.20	8	1.10345	0.56	5	1.00000	0.85	11	1.37037	0.77	4	1.19231	3.49
30	29	1.10256	0.82	8	1.54167	0.46	4	1.19231	0.65	8	1.54167	0.53	3	1.33333	0.87
31	25	1.68966	0.21	6	1.45833	0.37	3	1.24000	0.64	12	1.40741	0.55	3	1.33333	0.88
