Graph Info:	./input_data/cylinder/rnd/3.txt	Number of Vertices	3003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	13	1.00399	19.78	3	1.99701	32.25	3	1.07167	64.38	13	1.00466	22.88	3	1.99402	54.97
1	9	1.00399	56.56	3	1.99701	45.37	3	1.97624	45.78	9	1.00466	14.15	3	1.99402	154.76
2	19	1.00398	7.19	3	1.99701	26.86	3	1.11392	45.63	19	1.00466	9.96	3	1.99402	28.34
3	8	1.00199	6.19	3	1.99701	13.88	3	1.49875	38.26	8	1.00466	16.18	3	1.99402	121.42
4	10	1.00466	7.37	3	1.99701	13.89	3	1.99701	17.40	10	1.00466	10.52	3	1.99402	37.19
5	12	1.00066	14.20	3	1.99701	34.76	3	1.22502	44.53	12	1.00466	15.26	3	1.99402	29.68
6	6	1.00333	4.74	3	1.99701	14.54	3	1.95866	16.77	6	1.00466	9.62	3	1.99402	93.18
7	10	1.00599	13.84	3	1.99701	14.57	3	1.99701	20.55	10	1.00466	9.43	3	1.99402	18.37
8	10	1.00332	4.16	3	1.99701	9.51	3	1.94995	14.93	10	1.00466	20.71	3	1.99402	58.61
9	13	1.00399	7.79	3	1.99701	12.35	3	1.12739	17.28	13	1.00466	10.75	3	1.99402	27.35
10	9	1.00399	3.59	3	1.99701	14.54	3	1.95866	17.40	9	1.00466	5.98	3	1.99402	43.79
11	9	1.00133	11.48	3	1.99701	13.27	3	1.99701	12.76	9	1.00466	5.61	3	1.99402	18.89
12	6	1.00333	3.48	3	1.99701	8.31	3	1.95866	11.01	6	1.00466	6.26	3	1.99402	31.17
13	13	1.00000	5.25	3	1.99701	14.58	3	1.07597	25.35	13	1.00466	23.78	3	1.99402	24.69
14	12	1.00599	3.91	3	1.99701	9.01	3	1.21681	11.63	12	1.00466	9.23	3	1.99402	19.39
15	3	1.00000	5.63	3	1.99701	9.29	3	1.99701	12.85	3	1.00466	6.77	3	1.99402	36.27
16	3	1.00000	8.77	3	1.99701	15.44	3	1.99701	25.83	3	1.00466	8.24	3	1.99402	17.74
17	9	1.00399	3.67	3	1.99701	12.33	3	1.99701	24.71	9	1.00466	9.20	3	1.99402	52.79
18	6	1.00333	11.23	3	1.99701	26.73	3	1.95866	35.68	6	1.00466	10.26	3	1.99402	25.93
19	11	1.00266	5.95	3	1.99701	12.76	3	1.99402	18.97	11	1.00466	14.35	3	1.99402	32.49
20	9	1.00133	8.65	3	1.99701	16.15	3	1.99701	17.96	9	1.00466	10.42	3	1.99402	15.76
21	12	1.00199	3.36	3	1.99701	7.63	3	1.02561	10.36	12	1.00466	4.79	3	1.99402	15.14
22	6	1.00333	3.18	3	1.99701	6.82	4	1.94804	9.74	6	1.00466	6.32	3	1.99402	35.98
23	3	1.00000	13.87	3	1.99701	17.75	3	1.99701	22.70	3	1.00466	13.30	3	1.99402	14.29
24	10	1.00332	3.29	3	1.99701	7.26	3	1.95866	10.95	10	1.00466	4.95	3	1.99402	15.71
25	6	1.00333	3.38	3	1.99701	7.07	3	1.95866	11.77	6	1.00466	9.21	3	1.99402	34.61
26	7	1.00266	9.58	3	1.99701	10.03	3	1.77306	17.05	7	1.00466	13.12	3	1.99402	16.28
27	3	1.00000	3.07	3	1.99701	6.54	3	1.99701	9.68	3	1.00466	4.32	3	1.99402	15.13
28	10	1.00199	3.23	3	1.99701	6.63	3	1.99701	9.32	10	1.00466	4.14	3	1.99402	34.03
29	13	1.00799	6.41	3	1.99701	18.80	3	1.95866	20.99	13	1.00466	10.21	3	1.99402	21.35
30	13	1.00799	3.66	3	1.99701	11.66	3	1.99701	18.43	13	1.00466	7.52	3	1.99402	23.07
31	9	1.00399	9.08	3	1.99701	15.23	3	1.45188	28.59	9	1.00466	12.90	3	1.99402	24.61
