Graph Info:	./input_data/cylinder/symm/2.txt	Number of Vertices	303
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	3	1.00000	1.62	6	1.94286	8.24	5	1.96154	14.07	3	1.00000	1.60	4	1.86916	21.59
1	6	1.01961	3.73	6	1.94286	7.29	3	1.55000	6.32	6	1.00000	11.64	4	1.86916	15.40
2	6	1.01961	4.96	6	1.94286	3.30	3	1.61538	15.56	6	1.00000	11.66	4	1.86916	8.96
3	3	1.00000	2.78	6	1.94286	3.79	5	1.96154	11.45	3	1.00000	2.88	4	1.86916	24.59
4	6	1.01961	1.19	6	1.94286	6.53	5	1.96154	27.77	6	1.00000	1.32	4	1.86916	8.28
5	3	1.00000	5.57	6	1.94286	12.21	6	1.94286	18.16	3	1.00000	2.71	4	1.86916	6.78
6	3	1.00000	0.91	6	1.94286	3.10	6	1.94286	11.68	3	1.00000	1.19	4	1.86916	10.03
7	6	1.01961	0.99	6	1.94286	9.46	5	1.96154	6.40	6	1.00000	1.32	4	1.86916	6.31
8	3	1.00000	0.71	6	1.94286	1.77	6	1.94286	3.46	3	1.00000	0.91	4	1.86916	4.57
9	6	1.01961	0.72	6	1.94286	1.82	5	1.96154	3.63	6	1.00000	1.32	4	1.86916	4.04
10	6	1.01961	0.64	6	1.94286	3.74	5	1.96154	6.00	6	1.00000	0.89	4	1.86916	9.87
11	6	1.01961	1.62	6	1.94286	4.57	5	1.96154	12.82	6	1.00000	2.34	4	1.86916	17.84
12	6	1.01961	0.74	6	1.94286	5.74	5	1.96154	5.37	6	1.00000	3.49	4	1.86916	5.75
13	6	1.01961	1.52	6	1.94286	2.24	5	1.96154	3.00	6	1.00000	0.84	4	1.86916	7.75
14	6	1.01961	0.73	6	1.94286	2.03	5	1.96154	3.40	6	1.00000	2.32	4	1.86916	4.09
15	3	1.00000	0.61	6	1.94286	1.58	5	1.96154	5.89	3	1.00000	2.21	4	1.86916	4.29
16	3	1.00000	0.86	6	1.94286	2.34	5	1.96154	3.79	3	1.00000	0.84	4	1.86916	4.13
17	3	1.00000	0.66	6	1.94286	3.14	5	1.96154	3.05	3	1.00000	0.94	4	1.86916	4.15
18	6	1.01961	0.60	6	1.94286	8.27	3	1.17021	3.34	6	1.00000	3.69	4	1.86916	8.00
19	6	1.01961	0.85	6	1.94286	1.47	3	1.68421	8.50	6	1.00000	0.83	4	1.86916	20.55
20	3	1.00000	4.09	6	1.94286	1.79	6	1.94286	3.11	3	1.00000	1.17	4	1.86916	14.01
21	3	1.00000	0.61	6	1.94286	1.32	5	1.96154	11.66	3	1.00000	0.98	4	1.86916	9.06
22	3	1.00000	7.03	6	1.94286	1.50	6	1.94286	4.15	3	1.00000	0.84	4	1.86916	4.23
23	3	1.00000	2.06	6	1.94286	1.40	6	1.94286	2.44	3	1.00000	0.81	4	1.86916	14.35
24	6	1.01961	0.60	6	1.94286	1.33	3	1.48780	2.76	6	1.00000	0.76	4	1.86916	5.32
25	3	1.00000	0.67	6	1.94286	1.60	5	1.96154	3.01	3	1.00000	2.29	4	1.86916	4.06
26	6	1.01961	0.71	6	1.94286	1.74	3	1.83333	11.21	6	1.00000	0.94	4	1.86916	15.43
27	6	1.01961	0.76	6	1.94286	5.65	5	1.96154	6.59	6	1.00000	11.14	4	1.86916	3.17
28	6	1.01961	0.77	6	1.94286	1.83	5	1.96154	20.60	6	1.00000	8.22	4	1.86916	11.86
29	3	1.00000	3.26	6	1.94286	1.38	6	1.94286	2.76	3	1.00000	6.92	4	1.86916	5.38
30	6	1.01961	4.85	6	1.94286	3.40	3	1.48780	2.54	6	1.00000	2.64	4	1.86916	4.01
31	6	1.01961	0.48	6	1.94286	3.41	5	1.96154	2.43	6	1.00000	0.68	4	1.86916	3.90
