Graph Info:	./input_data/cylinder/unsymm/6.txt	Number of Vertices	3000003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	6	1.00000	13606.86	359725	1.84756	37373.98	3	1.20633	29252.48	6	1.00000	25056.37	3	1.20633	64022.68
1	6	1.00000	17365.11	4	2.00000	25096.98	3	1.00000	43283.38	6	1.00000	16270.77	3	1.99999	67480.51
2	6	1.00000	10842.10	61060	1.97037	28530.05	3	1.82736	28207.52	6	1.00000	15504.20	3	1.82737	71963.05
3	6	1.00000	10983.25	1051560	1.65540	33916.60	51561	1.97486	34633.63	6	1.00000	27159.88	3	1.00000	60112.41
4	3	1.00000	17138.05	3	1.99999	22775.14	4	1.00000	38495.65	3	1.00000	16870.55	3	1.99999	62811.12
5	6	1.00000	19804.56	814250	1.71067	24971.21	3	1.53004	38735.96	6	1.00000	16373.38	3	1.00000	68713.71
6	3	1.00000	11384.16	1623173	1.55200	31433.24	623173	1.76243	33442.83	3	1.00000	28630.16	3	1.00000	68137.87
7	3	1.00000	19646.37	1486559	1.57363	28420.83	486559	1.80432	47859.41	3	1.00000	18227.70	3	1.00000	68929.26
8	3	1.00000	11204.39	4	2.00000	30265.16	3	1.00000	29437.24	3	1.00000	16704.84	3	1.99999	71672.14
9	3	1.00000	14861.23	1592935	1.55665	36388.10	592935	1.77133	32519.24	3	1.00000	26721.98	3	1.00000	63236.36
10	3	1.00000	8555.53	3	2.00000	29516.78	4	1.00000	27947.06	3	1.00000	13850.00	3	1.99999	67668.18
11	6	1.00000	11434.59	680644	1.74609	29171.55	3	1.27383	29597.22	6	1.00000	27043.54	3	1.00000	56483.63
12	3	1.00000	21973.07	1952883	1.50596	28259.00	952883	1.67730	46596.66	3	1.00000	19181.50	3	1.00000	70812.49
13	6	1.00000	10335.80	4	2.00000	27918.20	3	1.00000	27863.61	6	1.00000	16051.83	3	1.99999	67718.30
14	3	1.00000	10981.31	3	1.99999	27351.66	4	1.00000	31246.55	3	1.00000	26995.80	3	1.99999	58680.16
15	6	1.00000	11442.79	4	2.00000	29063.81	3	1.00000	28793.80	6	1.00000	23988.49	3	1.99999	65031.15
16	6	1.00000	10412.45	4	2.00000	28228.88	3	1.00000	30505.87	6	1.00000	27904.48	3	1.99999	59439.49
17	3	1.00000	11010.88	4	2.00000	30537.92	3	1.00000	31333.32	3	1.00000	15759.42	3	1.99999	67045.69
18	6	1.00000	9820.20	3	1.99999	27721.91	4	1.00000	29008.42	6	1.00000	27186.19	3	1.99999	58608.02
19	3	1.00000	11284.46	1282878	1.60922	32578.38	282879	1.87608	33341.38	3	1.00000	26008.56	3	1.00000	72844.72
20	6	1.00000	15748.52	270073	1.88103	24422.99	3	1.36207	38490.28	6	1.00000	16619.46	3	1.36208	65623.53
21	6	1.00000	20334.91	1096373	1.64592	28542.39	96373	1.95403	43363.20	6	1.00000	17154.53	3	1.00000	71977.27
22	6	1.00000	9455.05	3	1.99999	32240.80	4	1.00000	31014.28	6	1.00000	17232.85	3	1.99999	68772.01
23	3	1.00000	10747.33	3	1.99999	28831.56	4	1.00000	29152.07	3	1.00000	15046.82	3	1.99999	74588.23
24	6	1.00000	19153.23	484285	1.80506	23992.39	3	1.02118	39460.41	6	1.00000	16254.76	3	1.02118	54255.61
25	6	1.00000	15019.87	244797	1.89095	23927.90	3	1.41003	47941.76	6	1.00000	18615.33	3	1.41004	74799.14
26	3	1.00000	12865.53	3	2.00000	28845.08	4	1.00000	30413.05	3	1.00000	15191.04	3	1.99999	74562.11
27	6	1.00000	11532.34	367070	1.84492	33024.47	3	1.19448	31204.83	6	1.00000	15178.43	3	1.19448	73547.16
28	6	1.00000	10193.57	779041	1.71967	29816.80	3	1.45708	34563.07	6	1.00000	16816.82	3	1.00000	68685.28
29	6	1.00000	9705.19	595469	1.77057	29509.64	3	1.13594	31235.88	6	1.00000	24834.67	3	1.00000	59161.05
30	6	1.00000	9398.27	695337	1.74202	29868.72	3	1.29944	30976.17	6	1.00000	25616.70	3	1.00000	66890.19
31	3	1.00000	19538.16	3	2.00000	24501.71	4	1.00000	28302.14	3	1.00000	24766.14	3	1.99999	60146.12
