Graph Info:	./input_data/grids/1.txt	Number of Vertices	63
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	31	1.00000	10.42	8	1.62963	7.42	8	1.02857	3.56	11	1.55172	5.30	27	1.09302	6.91
1	30	1.02174	1.19	8	1.73077	1.79	8	1.53571	2.05	14	1.48387	2.35	20	1.30556	5.65
2	26	1.06977	0.98	7	1.80000	2.00	7	1.50000	2.66	16	1.39394	9.50	18	1.53125	2.82
3	28	1.67647	0.87	8	1.73077	1.68	8	1.21875	2.53	13	1.37500	2.57	18	1.53125	3.93
4	30	1.02174	1.33	8	1.73077	1.58	8	1.53571	4.94	14	1.48387	1.80	20	1.30556	4.41
5	26	1.06977	0.90	7	1.80000	3.61	7	1.50000	2.63	16	1.39394	5.71	18	1.53125	3.39
6	31	1.00000	0.61	8	1.73077	4.06	8	1.73077	3.92	15	1.36364	9.74	19	1.34286	12.36
7	28	1.67647	3.15	8	1.73077	1.41	8	1.21875	1.86	13	1.37500	2.93	18	1.53125	2.56
8	33	1.08696	4.06	10	1.60714	15.72	8	1.02857	16.04	13	1.45161	2.65	21	1.47059	9.85
9	28	1.75758	3.42	7	1.80000	2.22	7	1.80000	3.27	10	1.51724	3.06	18	1.53125	2.07
10	30	1.02174	0.67	10	1.08571	1.13	8	1.53571	14.88	15	1.05263	1.58	21	1.27027	2.15
11	30	1.58333	0.61	7	1.80000	2.13	7	1.50000	2.51	11	1.46667	4.06	18	1.53125	2.24
12	22	1.57576	0.63	12	1.50000	1.11	10	1.35484	1.35	15	1.29412	2.39	16	1.19444	2.26
13	14	1.33333	3.51	9	1.76923	1.12	8	1.73077	1.42	14	1.56667	2.75	11	1.46667	9.43
14	28	1.75758	1.58	7	1.80000	1.23	7	1.80000	5.28	10	1.51724	1.51	18	1.53125	6.01
15	28	1.67647	0.56	7	1.80000	1.24	7	1.50000	3.63	12	1.41935	1.35	18	1.53125	1.92
16	28	1.67647	0.55	8	1.73077	3.94	8	1.21875	1.27	13	1.37500	5.43	18	1.53125	2.44
17	30	1.51351	6.37	7	1.69231	0.90	8	1.21875	2.29	16	1.32353	2.13	26	1.40541	2.89
18	29	1.70588	0.47	8	1.73077	2.85	8	1.73077	2.54	11	1.55172	1.56	26	1.61765	3.54
19	14	1.33333	0.45	9	1.76923	0.85	8	1.73077	1.13	14	1.56667	1.31	11	1.46667	2.67
20	28	1.02222	0.74	11	1.38710	0.82	10	1.35484	0.74	16	1.19444	0.67	20	1.18421	0.92
21	30	1.58333	0.26	8	1.53571	1.34	7	1.50000	0.91	15	1.29412	0.71	27	1.50000	0.98
22	25	1.25641	0.26	7	1.80000	0.75	7	1.50000	1.13	13	1.00000	1.05	18	1.53125	1.29
23	30	1.58333	0.29	8	1.53571	0.62	7	1.50000	0.75	15	1.29412	0.87	27	1.50000	1.18
24	30	1.58333	0.48	7	1.59259	0.50	8	1.02857	0.68	14	1.48387	2.65	7	1.50000	1.19
25	29	1.70588	0.35	8	1.73077	0.51	8	1.02857	0.79	9	1.57143	0.71	26	1.61765	1.02
26	28	1.67647	2.58	7	1.80000	0.58	7	1.50000	0.77	12	1.41935	0.71	18	1.53125	1.46
27	28	1.67647	6.57	7	1.80000	0.72	7	1.50000	0.95	12	1.41935	0.91	18	1.53125	1.45
28	30	1.06667	0.26	10	1.43333	0.61	8	1.36667	2.68	14	1.33333	1.92	26	1.02273	0.94
29	33	1.08696	0.15	10	1.60714	0.27	8	1.02857	0.42	13	1.45161	0.39	21	1.47059	1.64
30	30	1.58333	0.27	7	1.80000	0.44	7	1.50000	0.70	11	1.46667	0.66	18	1.53125	1.24
31	29	1.62857	0.24	9	1.66667	0.42	8	1.02857	0.71	11	1.55172	0.81	26	1.54286	1.04
