Graph Info:	random 4	Number of Vertices	50003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	13869	1.33587	116.46	7	1.04774	408.01	4	1.20392	354.20	56	1.04832	591.47	3	1.06645	1072.41
1	15422	1.56549	157.42	5	1.93233	279.93	3	1.06645	398.55	118	1.92609	390.25	4	1.87330	556.27
2	13302	1.36769	116.69	7	1.04774	346.61	4	1.20392	487.81	67	1.04877	471.72	3	1.06645	980.19
3	16386	1.37044	131.67	5	1.52668	309.64	3	1.19113	462.41	87	1.52127	373.91	3	1.06645	530.03
4	15693	1.37221	144.90	5	1.52668	336.97	3	1.19113	371.05	152	1.51177	369.94	3	1.06645	763.98
5	17381	1.16550	109.02	7	1.05930	297.54	5	1.05811	435.60	78	1.05671	354.63	6	1.20732	555.97
6	16445	1.36672	138.02	5	1.52668	258.70	3	1.19113	391.59	162	1.51076	369.24	3	1.06645	618.81
7	17268	1.14007	187.86	14	1.99181	474.90	11	1.51655	396.92	266	1.97432	386.01	6	1.73737	695.50
8	19644	1.09780	126.32	12	1.68551	294.63	8	1.03727	604.59	143	1.67517	999.32	5	1.27237	824.92
9	17167	1.14135	193.14	5	1.93233	501.53	4	1.21721	603.49	223	1.90710	690.97	4	1.87330	511.83
10	15841	1.41187	136.97	5	1.52668	274.86	3	1.19113	341.28	139	1.51755	355.67	3	1.06645	484.05
11	17457	1.21376	107.58	7	1.52627	264.97	5	1.30452	310.18	276	1.51672	354.29	5	1.52668	485.98
12	15409	1.56498	120.51	5	1.93233	272.49	3	1.06645	355.33	150	1.92267	340.74	4	1.87330	527.28
13	14427	1.50583	106.35	5	1.52668	254.71	3	1.19113	318.94	131	1.51816	409.53	3	1.06645	531.13
14	14863	1.23576	131.79	7	1.30812	245.00	4	1.93227	407.45	132	1.30739	436.58	6	1.00710	715.72
15	18301	1.01249	192.66	9	1.88736	245.60	4	1.45265	329.16	68	1.88511	444.02	3	1.19113	508.30
16	15332	1.56115	109.37	7	1.73653	243.14	3	1.06645	331.95	118	1.72975	392.57	4	1.53778	507.30
17	17368	1.14332	109.05	12	1.89455	253.10	11	1.38207	302.82	86	1.89314	353.04	6	1.73737	531.29
18	17443	1.21330	110.52	9	1.30014	313.88	7	1.29868	292.38	97	1.29606	369.34	6	1.53505	533.35
19	13248	1.37099	105.57	7	1.04774	268.68	4	1.20392	312.05	123	1.05107	378.41	3	1.06645	631.56
20	17914	1.43134	114.00	8	1.03736	240.88	5	1.03475	322.44	216	1.03332	393.05	5	1.49081	489.67
21	15576	1.44360	140.10	8	1.54224	245.33	3	1.06645	329.50	140	1.53953	440.11	3	1.19113	1224.14
22	15671	1.37279	345.07	5	1.52668	879.52	3	1.19113	640.80	172	1.51491	341.09	3	1.06645	476.47
23	17924	1.18120	107.39	11	1.99736	232.35	4	1.34006	362.10	77	1.99253	382.89	5	1.42698	547.12
24	14355	1.30467	110.45	7	1.04774	287.41	4	1.20392	464.04	129	1.05131	441.54	3	1.06645	1008.71
25	15206	1.40234	320.29	7	1.41653	302.05	5	1.28128	352.57	42	1.41530	371.96	3	1.06645	565.68
26	13316	1.36689	139.65	7	1.04774	250.49	4	1.20392	329.03	59	1.04845	396.31	3	1.06645	553.95
27	17144	1.55837	115.47	5	1.93233	279.13	3	1.06645	332.41	119	1.92615	373.39	4	1.87330	1052.99
28	15321	1.22561	173.66	12	1.82395	245.00	9	1.76248	295.00	139	1.82061	384.21	6	1.01171	470.22
29	17404	1.29518	106.74	12	1.05122	255.92	6	1.03338	316.64	156	1.04873	337.17	5	1.44526	504.04
30	16055	1.48947	158.80	8	1.54224	223.61	3	1.06645	305.60	171	1.53699	328.10	3	1.19113	488.04
31	19925	1.28299	111.48	6	1.37088	241.49	3	1.06645	367.93	311	1.36571	353.06	3	1.19113	480.90
