Graph Info:	sphere_Cube	Number of Vertices	326
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	145	1.36683	0.62	10	1.04878	1.45	8	1.02424	1.97	21	1.04118	1.84	13	1.02994	2.67
1	154	1.12389	0.58	9	1.46324	1.26	7	1.00602	2.01	9	1.44526	1.70	6	1.38849	2.57
2	145	1.36683	0.55	9	1.93860	3.26	8	1.42029	2.34	21	1.82114	1.75	12	1.41429	3.24
3	150	1.39196	0.63	7	1.94690	3.49	6	1.38849	1.96	19	1.85124	1.61	10	1.40000	2.93
4	154	1.12389	0.74	9	1.46324	1.40	7	1.00602	5.73	9	1.44526	8.18	6	1.38849	3.89
5	176	1.10924	0.53	7	1.94690	6.22	7	1.39568	3.41	7	1.92105	1.62	6	1.00000	2.39
6	145	1.36683	0.51	10	1.38298	5.67	8	1.35211	4.45	21	1.34459	1.52	13	1.20130	4.34
7	145	1.36683	2.45	10	1.38298	2.97	8	1.02424	1.76	21	1.34459	2.35	13	1.20130	8.45
8	152	1.11504	6.30	9	1.50000	3.41	7	1.01818	9.32	12	1.50370	1.72	6	1.38849	3.43
9	159	1.19457	0.59	9	1.00599	1.82	7	1.05556	7.76	18	1.01170	2.66	6	1.00000	5.09
10	176	1.10924	1.16	7	1.94690	1.28	7	1.39568	10.25	7	1.92105	1.49	6	1.00000	4.04
11	154	1.12389	0.51	9	1.46324	1.06	7	1.00602	2.54	9	1.44526	1.69	6	1.38849	2.34
12	145	1.36683	0.57	8	1.42029	0.98	6	1.00000	1.54	21	1.36054	1.58	11	1.18831	16.22
13	154	1.12389	0.50	9	1.46324	0.91	7	1.00602	1.57	9	1.44526	2.05	6	1.38849	2.18
14	132	1.77576	0.49	8	1.02424	0.98	6	1.00000	5.36	15	1.01775	1.39	8	1.01205	2.32
15	176	1.10924	0.72	9	1.41007	1.32	7	1.37857	1.59	9	1.39286	1.42	6	1.00000	1.91
16	127	1.74545	0.50	10	1.03636	0.98	8	1.02424	2.82	17	1.00585	2.29	10	1.02410	5.07
17	145	1.36683	0.58	10	1.38298	0.96	8	1.02424	6.07	21	1.34459	6.12	12	1.19481	2.38
18	154	1.12389	0.76	9	1.01807	3.62	7	1.00602	1.55	9	1.00599	1.47	12	1.58015	5.84
19	154	1.12389	0.59	9	1.01807	1.13	7	1.00602	4.38	9	1.00599	9.50	12	1.58015	3.03
20	145	1.36683	1.14	10	1.02410	2.19	8	1.04908	1.88	21	1.01744	8.71	13	1.02994	4.00
21	154	1.12389	3.21	9	1.46324	1.17	7	1.00602	8.13	9	1.44526	4.21	6	1.38849	2.33
22	152	1.11504	0.52	9	1.04268	2.02	7	1.01818	3.69	12	1.02395	5.70	11	1.59231	2.40
23	159	1.19457	0.52	9	1.03030	1.27	7	1.05556	3.36	18	1.04762	1.99	6	1.00000	2.05
24	145	1.36683	0.58	9	1.93860	1.64	8	1.42029	3.21	21	1.82114	1.43	12	1.41429	2.11
25	152	1.11504	0.60	9	1.44526	1.18	7	1.01818	1.74	12	1.41429	1.67	6	1.38849	2.32
26	145	1.36683	0.53	8	1.42029	1.14	6	1.38849	1.75	21	1.36054	1.58	11	1.18831	2.26
27	145	1.36683	0.52	8	1.42029	0.94	6	1.38849	2.83	21	1.36054	1.39	11	1.18831	2.16
28	174	1.11864	0.51	9	1.04268	1.10	7	1.01818	2.58	12	1.02395	1.42	6	1.00000	1.87
29	154	1.12389	0.54	9	1.05521	0.95	7	1.00602	1.60	9	1.04268	1.41	12	1.58015	4.87
30	174	1.11864	0.53	8	1.92982	0.86	7	1.41304	1.49	11	1.88034	1.32	6	1.00000	1.86
31	159	1.19457	0.50	9	1.00599	0.85	7	1.05556	1.45	18	1.01170	1.44	6	1.00000	2.98
