Graph Info:	sphere_Tetrahedron	Number of Vertices	56
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	26	1.73333	0.16	5	1.77273	0.28	4	1.85714	0.41	7	1.62500	6.11	4	1.00000	1.15
1	36	1.30000	0.26	5	1.77273	0.58	5	1.77273	1.26	5	1.65217	0.47	5	1.65217	0.58
2	37	1.16279	0.14	5	1.77273	0.29	4	1.85714	4.61	11	1.57692	0.45	5	1.10345	0.55
3	26	1.73333	0.14	6	1.69565	0.28	5	1.77273	0.40	7	1.62500	0.44	5	1.34615	1.20
4	35	1.16667	0.36	6	1.58333	1.52	5	1.65217	0.44	9	1.40741	0.47	6	1.00000	0.62
5	26	1.73333	0.14	5	1.77273	5.43	5	1.77273	1.94	5	1.65217	0.45	5	1.65217	0.54
6	31	1.80645	0.12	5	1.77273	0.26	4	1.85714	0.77	5	1.77273	1.43	4	1.00000	1.50
7	26	1.73333	1.78	7	1.62500	0.45	6	1.58333	0.43	7	1.52000	0.45	6	1.21429	0.72
8	35	1.16667	0.13	6	1.69565	0.26	5	1.65217	0.39	9	1.50000	0.61	5	1.34615	0.87
9	36	1.30000	0.13	5	1.77273	0.67	5	1.77273	0.44	5	1.65217	13.90	5	1.65217	2.35
10	35	1.16667	0.14	6	1.48000	9.01	5	1.65217	0.71	9	1.32143	1.14	6	1.00000	1.51
11	35	1.16667	0.10	6	1.48000	0.23	5	1.65217	0.35	9	1.32143	0.41	6	1.00000	0.57
12	35	1.16667	0.09	6	1.69565	0.21	5	1.65217	0.34	9	1.50000	0.35	5	1.34615	0.46
13	26	1.73333	0.09	7	1.62500	0.20	6	1.58333	0.33	7	1.52000	0.34	6	1.21429	5.12
14	26	1.73333	0.13	7	1.62500	0.24	6	1.58333	0.34	7	1.52000	0.35	6	1.21429	0.49
15	26	1.73333	0.10	7	1.62500	0.22	6	1.58333	0.32	7	1.52000	0.35	6	1.21429	0.48
16	35	1.16667	0.10	6	1.69565	0.22	5	1.65217	0.32	9	1.50000	0.36	5	1.34615	0.49
17	35	1.16667	0.11	6	1.69565	0.23	5	1.65217	0.43	9	1.50000	0.36	5	1.34615	0.50
18	35	1.16667	0.10	6	1.69565	0.23	5	1.65217	0.33	9	1.50000	0.37	5	1.34615	0.50
19	37	1.16279	0.10	5	1.77273	0.23	4	1.85714	1.40	11	1.57692	0.34	5	1.10345	0.47
20	36	1.30000	0.10	5	1.77273	0.21	5	1.77273	2.74	5	1.65217	0.42	5	1.65217	0.49
21	36	1.30000	0.11	5	1.77273	0.23	5	1.77273	0.34	5	1.65217	0.35	5	1.65217	0.48
22	36	1.30000	0.10	5	1.77273	0.22	5	1.77273	0.34	5	1.65217	0.41	5	1.65217	0.47
23	37	1.16279	0.10	5	1.77273	0.22	4	1.85714	2.41	11	1.57692	0.42	5	1.10345	0.50
24	36	1.30000	0.11	5	1.77273	0.24	5	1.77273	0.32	5	1.65217	0.34	5	1.65217	0.47
25	35	1.16667	0.10	6	1.58333	0.23	5	1.65217	0.35	9	1.40741	0.47	6	1.00000	0.56
26	36	1.30000	0.11	5	1.77273	0.23	5	1.77273	0.31	5	1.65217	0.46	5	1.65217	0.51
27	26	1.73333	0.10	7	1.62500	0.22	6	1.58333	0.33	7	1.52000	0.35	6	1.21429	0.47
28	26	1.73333	0.10	6	1.69565	0.22	5	1.77273	0.35	7	1.62500	0.31	5	1.34615	0.49
29	26	1.73333	0.10	5	1.77273	0.41	5	1.65217	0.33	7	1.62500	0.30	4	1.00000	0.74
30	35	1.16667	0.10	6	1.48000	0.24	5	1.65217	0.47	9	1.32143	0.38	6	1.00000	0.53
31	37	1.16279	0.11	5	1.77273	0.21	4	1.85714	0.39	11	1.57692	4.53	5	1.10345	0.46
