Graph Info:	sphere_Cube	Number of Vertices	26246
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	11635	1.03115	103.53	11	1.06618	112.01	6	1.00000	163.16	16	1.06560	193.89	10	1.00030	250.33
1	11817	1.23191	52.14	12	1.00703	118.12	8	1.01876	185.98	12	1.00688	153.30	10	1.00030	282.92
2	11817	1.23191	56.31	15	1.05710	120.82	10	1.00857	177.08	36	1.05601	167.47	12	1.00046	263.69
3	11401	1.01861	65.61	13	1.99897	118.44	10	1.36519	179.55	59	1.94536	141.91	14	1.40037	255.79
4	11836	1.20331	51.56	12	1.06609	116.78	7	1.00008	187.28	155	1.06322	163.88	12	1.66552	254.39
5	11762	1.49757	64.70	12	1.05961	115.75	7	1.00619	169.98	130	1.05501	155.33	6	1.00000	250.15
6	11631	1.22100	70.91	13	1.04017	109.44	8	1.02499	175.05	60	1.03812	160.08	10	1.00030	272.29
7	10898	1.59422	57.97	11	1.08455	116.74	7	1.05712	167.60	85	1.07805	162.71	6	1.00000	229.26
8	11824	1.20415	61.39	11	1.03228	154.62	7	1.00619	173.28	202	1.03259	201.70	12	1.66552	254.39
9	11824	1.20415	67.06	13	1.03196	199.75	9	1.00588	213.16	202	1.03259	232.58	14	1.66518	290.03
10	11635	1.03115	58.29	10	1.43720	117.70	6	1.00000	171.70	12	1.43671	199.64	11	1.18190	262.12
11	11631	1.22100	55.44	12	1.02405	121.19	8	1.05061	163.23	59	1.02284	171.55	10	1.00030	253.18
12	11865	1.23472	54.46	10	1.02593	121.31	6	1.00000	150.41	12	1.02561	161.46	8	1.00015	246.31
13	11401	1.01861	54.28	10	1.43720	111.23	6	1.00000	158.83	59	1.42980	154.07	11	1.18190	244.49
14	10898	1.59422	60.58	11	1.03039	125.73	7	1.05712	151.75	108	1.02661	165.28	6	1.00000	214.16
15	11587	1.02858	54.10	15	1.52753	111.69	10	1.02047	149.71	36	1.52736	152.44	14	1.18233	249.19
16	11587	1.02858	54.19	12	1.42703	118.15	8	1.38999	163.13	35	1.42378	185.87	13	1.18207	254.39
17	11635	1.03115	56.33	7	1.99931	112.10	6	1.39985	151.37	9	1.99886	149.76	10	1.40000	232.17
18	10898	1.59422	53.25	13	1.08670	116.00	9	1.05922	158.28	85	1.08035	174.53	6	1.00000	236.75
19	11635	1.03115	54.20	10	1.43720	109.95	6	1.00000	149.17	12	1.43671	177.09	11	1.18190	265.46
20	11865	1.23472	54.21	10	1.02593	112.85	6	1.00000	152.48	12	1.02561	163.27	8	1.00015	277.02
21	11587	1.02858	57.31	12	1.04438	122.02	8	1.01799	148.04	21	1.04397	167.58	13	1.00038	276.07
22	11629	1.03083	58.01	7	1.99931	114.94	6	1.39985	159.93	18	1.99817	163.61	10	1.40000	241.53
23	11740	1.21003	57.55	11	1.04510	121.71	7	1.01869	162.98	250	1.04650	169.75	12	1.66552	249.70
24	11824	1.20415	57.20	11	1.01961	121.25	7	1.00619	167.08	202	1.01755	174.52	12	1.66552	260.20
25	11740	1.21003	56.72	14	1.48181	124.03	9	1.00895	152.27	283	1.45366	148.50	6	1.39985	227.87
26	10898	1.59422	54.54	11	1.08455	125.81	7	1.05712	201.32	88	1.07780	221.85	6	1.00000	263.83
27	11740	1.21003	66.60	12	1.04661	130.20	7	1.01869	143.76	260	1.03986	155.83	12	1.66552	244.68
28	11678	1.50588	55.15	9	1.99920	108.87	7	1.42679	156.10	176	1.98318	163.00	6	1.00000	219.20
29	11824	1.20415	55.38	13	1.01775	121.11	9	1.00803	163.95	211	1.01639	164.58	14	1.66518	249.16
30	11629	1.03083	52.57	7	1.99931	116.75	6	1.39985	195.58	12	1.99852	195.90	10	1.40000	244.14
31	10898	1.59422	58.67	13	1.99897	115.19	9	1.43892	163.90	106	1.99149	158.02	6	1.00000	220.60
