Graph Info:	sphere_Tetrahedron	Number of Vertices	1062884
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			ModifiedFCS			Lipton-Tarjan Separator			Simple Cycle Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)	Separator Size	Balance Ratio	Runtime (s)
0	508224	1.21562	6556.89	14	1.79948	20093.00	7	1.70249	10265.34	214	1.79942	14593.06	5	1.40000	18899.92
1	508152	1.21575	4260.94	11	1.99998	7800.94	7	1.69251	8428.20	404	1.99884	15447.25	5	1.40000	16773.90
2	507504	1.28189	4434.87	5	1.99999	6825.58	5	1.76922	10647.79	32	1.99991	14891.83	4	1.00000	17134.48
3	509538	1.28616	6066.94	5	1.99999	7399.68	5	1.76922	13159.96	7	1.99997	13997.27	4	1.00000	14637.68
4	464832	1.61760	5269.97	9	1.99998	6670.65	6	1.91017	8033.90	482	1.99854	12922.27	5	1.03774	19852.12
5	505122	1.27166	5522.39	5	1.99999	8187.21	4	1.99999	10993.10	105	1.99980	13102.66	4	1.00000	14548.73
6	535560	1.11227	3933.68	7	1.99998	6842.76	5	1.91891	9040.70	9	1.99997	15764.06	5	1.76922	14456.43
7	455472	1.64496	4272.15	5	1.99999	6852.79	5	1.40000	8050.18	808	1.99866	13113.60	5	1.00001	13859.95
8	455472	1.64496	4260.32	12	1.87115	6594.25	6	1.79310	8570.71	858	1.86683	10126.24	5	1.40000	16586.19
9	491922	1.11105	4121.56	11	1.99998	6872.34	7	1.92737	8457.27	140	1.99951	12444.02	5	1.76922	20107.18
10	509304	1.28582	4097.82	5	1.99999	9945.02	4	1.99999	13881.61	66	1.99979	12969.71	4	1.00000	17211.14
11	501324	1.23722	4854.94	5	1.99999	6646.15	4	1.99999	9564.75	471	1.99882	9965.49	4	1.00000	15749.34
12	509304	1.28582	4322.79	5	1.99999	6874.58	4	1.99999	10683.44	54	1.99988	10014.68	4	1.00000	22028.16
13	503346	1.26885	3858.24	9	1.99998	6555.32	6	1.91017	9613.75	577	1.99780	11519.07	5	1.03774	15302.60
14	491562	1.11056	4064.61	7	1.99998	7675.81	5	1.97247	9919.17	280	1.99948	10708.95	5	1.91891	15743.39
15	509538	1.28616	4903.98	5	1.99999	7078.25	5	1.76922	10955.24	7	1.99997	10812.69	4	1.00000	14470.74
16	491958	1.11110	6596.28	5	1.99999	8684.29	4	1.99999	10399.21	17	1.99995	10677.28	4	1.00000	15101.71
17	509304	1.28582	3991.61	5	1.99999	7444.77	4	1.99999	11529.92	65	1.99977	10096.11	4	1.00000	15415.72
18	466956	1.61174	4638.78	5	1.99999	6688.09	5	1.40000	10286.07	210	1.99929	10650.66	5	1.00001	21448.77
19	504738	1.27110	3695.26	9	1.99998	7470.93	6	1.91599	10805.49	212	1.99900	10230.55	5	1.03774	15957.28
20	455472	1.64496	4172.26	9	1.99998	6880.80	6	1.89285	10753.63	69	1.99976	10730.38	6	1.07692	14140.89
21	491562	1.11056	4854.55	13	1.60966	8255.44	6	1.69999	9511.39	216	1.61015	12017.65	6	1.25000	19021.81
22	507408	1.28175	3401.02	13	1.99997	10193.78	8	1.97377	9952.63	139	1.99951	10900.88	6	1.01103	16546.33
23	507366	1.14671	3608.43	9	1.99998	7289.69	7	1.99109	8827.81	424	1.99881	11600.23	5	1.97247	14339.22
24	510636	1.21150	4372.75	12	1.54347	8411.49	5	1.76922	8985.03	142	1.54378	12306.10	6	1.00000	19454.58
25	508686	1.28480	6661.91	5	1.99999	8353.30	4	1.99999	10347.51	104	1.99980	11580.42	4	1.00000	22605.70
26	497076	1.22885	4201.20	9	1.99998	6892.31	6	1.89285	12143.30	867	1.99630	10740.58	5	1.03774	15782.01
27	507024	1.28119	4810.28	5	1.99999	7169.72	4	1.99999	11048.11	231	1.99959	11122.59	4	1.00000	13971.86
28	507024	1.28119	4428.60	5	1.99999	6658.50	4	1.99999	9844.04	231	1.99959	11735.05	4	1.00000	22151.14
29	466956	1.61174	4942.25	5	1.99999	7366.16	4	1.99999	11528.98	56	1.99983	10482.64	5	1.00001	14213.37
30	467352	1.61065	5159.51	5	1.99999	7219.97	5	1.40000	10487.48	32	1.99991	11099.07	5	1.00001	16362.45
31	508152	1.21575	6367.89	14	1.57037	9367.60	7	1.80114	10396.97	485	1.57072	12112.91	6	1.00000	19876.66
