Graph Info:	./input_data/sphere/t_6.txt	Number of Vertices	1460
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	854	1.37577	6.04	8	1.84496	17.62	10	1.83237	8.75
1	898	1.13201	4.54	5	1.98980	7.44	7	1.98171	8.33
2	880	1.10432	3.99	9	1.54593	8.20	12	1.54671	8.49
3	854	1.37577	3.93	8	1.86160	8.25	10	1.84884	13.28
4	908	1.14105	5.28	5	1.98980	2.78	7	1.98171	8.52
5	714	1.89867	2.94	5	1.98980	3.07	46	1.90734	7.05
6	922	1.25996	1.62	9	1.98577	3.82	31	1.63428	7.42
7	922	1.25996	1.66	10	1.97571	7.59	30	1.92157	5.60
8	854	1.37577	5.62	7	1.98778	3.96	9	1.97972	8.61
9	878	1.02600	2.34	5	1.98980	10.74	7	1.98171	18.09
10	714	1.89867	5.34	5	1.98980	4.60	43	1.91279	4.05
11	896	1.13020	1.91	9	1.98577	3.21	12	1.97374	3.83
12	842	1.00523	1.68	5	1.98980	2.50	32	1.93701	4.14
13	714	1.89867	2.04	8	1.98374	2.60	45	1.91103	3.64
14	880	1.10432	1.74	8	1.98374	2.69	11	1.97172	4.04
15	708	1.91398	1.60	8	1.84496	2.48	45	1.79221	3.50
16	876	1.02426	1.55	5	1.98980	2.59	10	1.97571	5.39
17	896	1.13020	2.23	8	1.98374	2.89	11	1.97172	3.65
18	714	1.89867	1.60	7	1.98778	2.65	43	1.91279	3.99
19	882	1.10612	1.98	5	1.98980	5.16	7	1.98171	7.69
20	708	1.91398	2.92	8	1.84496	2.62	45	1.79221	14.06
21	714	1.89867	4.50	7	1.98778	10.66	43	1.91279	13.31
22	842	1.00523	4.85	5	1.98980	7.22	32	1.93701	10.73
23	708	1.91398	7.49	8	1.86160	8.32	45	1.80261	12.48
24	898	1.13201	4.31	5	1.98980	6.42	7	1.98171	3.70
25	908	1.14105	1.56	5	1.98980	2.76	7	1.98171	3.63
26	714	1.89867	2.07	5	1.98980	3.68	46	1.90734	4.45
27	922	1.25996	2.06	9	1.98577	3.21	31	1.90643	4.21
28	714	1.89867	1.76	5	1.98980	2.75	43	1.91279	3.61
29	958	1.21835	1.81	5	1.98980	2.59	5	1.98371	3.39
30	854	1.37577	1.53	8	1.84496	2.44	10	1.83237	3.42
31	908	1.14105	1.49	5	1.98980	2.37	7	1.98171	3.41
